order_id,customer_age,gender,category,payment_method,quantity,price_per_unit_k,discount_pct,total_amount_k,rating_score,delivery_days
ORD-1001,30,Female,Fashion,Credit Card,1,114.8,0,114.8,4,3
ORD-1002,29,Female,Electronics,E-Wallet,1,466.6,20,373.28,3,5
ORD-1003,26,Male,Books,Bank Transfer,3,63.4,0,190.2,5,4
ORD-1004,39,Female,Fashion,Credit Card,5,113.1,0,565.5,4,3
ORD-1005,28,Male,Books,E-Wallet,5,98.8,15,419.9,2,3
ORD-1006,42,Female,Home & Living,Credit Card,3,234.5,10,633.15,5,3
ORD-1007,41,Female,Groceries,COD,2,27.2,10,48.96,3,2
ORD-1008,41,Male,Home & Living,Credit Card,2,201.8,10,363.24,5,4
ORD-1009,25,Female,Electronics,Credit Card,3,339.4,30,712.74,3,3
ORD-1010,37,Female,Fashion,COD,1,148.6,10,133.74,3,2
ORD-1011,31,Female,Home & Living,COD,1,137.8,5,130.91,4,3
ORD-1012,33,Male,Fashion,Credit Card,3,110.4,15,281.52,4,3
ORD-1013,26,Male,Electronics,Bank Transfer,3,467.1,10,1261.17,2,2
ORD-1014,35,Female,Home & Living,Credit Card,2,255.0,30,357.0,4,4
ORD-1015,28,Male,Home & Living,E-Wallet,2,181.8,15,309.06,1,5
ORD-1016,24,Female,Fashion,E-Wallet,1,108.9,25,81.68,4,3
ORD-1017,44,Male,Fashion,COD,5,141.4,5,671.65,3,4
ORD-1018,25,Male,Home & Living,Credit Card,3,139.9,10,377.73,4,4
ORD-1019,27,Male,Electronics,Bank Transfer,1,443.7,20,354.96,3,3
ORD-1020,35,Male,Fashion,E-Wallet,4,127.3,5,483.74,3,3
ORD-1021,22,Female,Fashion,COD,3,123.4,5,351.69,2,2
ORD-1022,25,Female,Books,E-Wallet,2,94.6,15,160.82,4,3
ORD-1023,33,Male,Fashion,COD,1,106.3,5,100.98,3,3
ORD-1024,50,Female,Home & Living,E-Wallet,1,295.1,0,295.1,5,3
ORD-1025,34,Female,Books,Credit Card,4,74.6,0,298.4,3,4
ORD-1026,32,Female,Groceries,COD,2,42.6,25,63.9,4,1
ORD-1027,35,Male,Home & Living,E-Wallet,3,234.7,0,704.1,2,1
ORD-1028,34,Male,Electronics,E-Wallet,4,488.4,30,1367.52,3,3
ORD-1029,44,Male,Home & Living,E-Wallet,2,271.9,15,462.23,4,2
ORD-1030,29,Female,Fashion,Bank Transfer,1,84.5,10,76.05,4,4
ORD-1031,48,Male,Books,E-Wallet,1,63.5,5,60.32,4,4
ORD-1032,37,Male,Fashion,Bank Transfer,1,85.2,10,76.68,4,4
ORD-1033,43,Male,Home & Living,Bank Transfer,5,194.2,0,971.0,5,3
ORD-1034,34,Male,Home & Living,Credit Card,1,137.1,5,130.24,4,2
ORD-1035,37,Female,Electronics,E-Wallet,2,343.5,30,480.9,3,5
ORD-1036,32,Female,Fashion,COD,2,116.2,0,232.4,5,3
ORD-1037,30,Male,Groceries,Credit Card,2,39.0,0,78.0,3,5
ORD-1038,23,Male,Groceries,Credit Card,2,39.8,20,63.68,5,2
ORD-1039,22,Male,Fashion,Credit Card,5,143.2,30,501.2,3,2
ORD-1040,34,Female,Books,Credit Card,1,87.4,30,61.18,1,2
ORD-1041,26,Female,Groceries,Bank Transfer,3,46.4,30,97.44,3,4
ORD-1042,32,Female,Groceries,E-Wallet,5,42.1,15,178.92,4,5
ORD-1043,35,Male,Electronics,Bank Transfer,1,366.1,10,329.49,1,2
ORD-1044,27,Female,Books,E-Wallet,1,70.6,25,52.95,4,3
ORD-1045,18,Male,Groceries,COD,1,42.5,25,4500.0,5,2
ORD-1046,23,Male,Groceries,Bank Transfer,2,37.0,20,59.2,2,5
ORD-1047,18,Male,Home & Living,Bank Transfer,2,256.9,30,359.66,1,3
ORD-1048,40,Female,Books,COD,2,90.4,30,126.56,4,4
ORD-1049,28,Female,Electronics,Credit Card,2,372.7,5,708.13,5,3
ORD-1050,33,Female,Home & Living,E-Wallet,2,249.4,25,374.1,4,2
ORD-1051,26,Male,Electronics,COD,1,453.0,30,317.1,5,3
ORD-1052,31,Male,Electronics,COD,1,314.9,20,251.92,4,3
ORD-1053,48,Female,Home & Living,COD,4,167.5,25,502.5,5,1
ORD-1054,36,Female,Home & Living,COD,2,196.9,10,354.42,3,3
ORD-1055,23,Male,Fashion,Credit Card,1,174.4,25,130.8,3,3
ORD-1056,40,Female,Home & Living,COD,2,214.0,30,299.6,4,4
ORD-1057,26,Female,Books,E-Wallet,5,45.5,10,204.75,5,5
ORD-1058,18,Female,Home & Living,Credit Card,2,191.7,15,325.89,4,4
ORD-1059,28,Male,Books,Credit Card,8,65.5,20,419.2,1,2
ORD-1060,38,Male,Electronics,COD,1,414.9,15,352.66,3,3
ORD-1061,25,Female,Groceries,COD,1,47.9,0,47.9,4,3
ORD-1062,29,Female,Fashion,E-Wallet,3,90.9,5,259.07,3,1
ORD-1063,36,Male,Books,E-Wallet,2,86.6,5,164.54,4,3
ORD-1064,39,Male,Fashion,Bank Transfer,1,145.6,25,109.2,5,3
ORD-1065,18,Male,Electronics,Credit Card,1,639.2,30,447.44,3,2
ORD-1066,18,Male,Groceries,COD,2,59.7,0,119.4,5,4
ORD-1067,33,Female,Books,Credit Card,2,76.0,25,114.0,4,2
ORD-1068,23,Female,Books,COD,3,69.3,5,197.5,5,2
ORD-1069,46,Male,Books,COD,1,107.7,15,91.55,5,3
ORD-1070,37,Female,Groceries,Bank Transfer,4,42.3,0,169.2,4,2
ORD-1071,34,Female,Books,Credit Card,2,99.7,25,149.55,4,3
ORD-1072,32,Female,Fashion,COD,2,106.3,15,180.71,4,4
ORD-1073,18,Female,Groceries,COD,1,76.6,10,68.94,3,3
ORD-1074,25,Male,Fashion,Credit Card,3,113.4,30,238.14,4,5
ORD-1075,31,Male,Groceries,Credit Card,1,50.1,10,45.09,1,2
ORD-1076,30,Male,Home & Living,Bank Transfer,2,270.6,15,460.02,2,5
ORD-1077,38,Female,Books,Bank Transfer,1,86.3,0,86.3,3,3
ORD-1078,28,Male,Books,COD,1,80.2,5,76.19,5,3
ORD-1079,35,Male,Electronics,COD,2,435.1,30,609.14,4,3
ORD-1080,24,Female,Groceries,COD,1,33.8,25,25.35,2,2
ORD-1081,32,Female,Electronics,Credit Card,1,292.8,20,234.24,2,4
ORD-1082,32,Female,Groceries,E-Wallet,1,40.3,15,34.25,2,1
ORD-1083,32,Male,Books,E-Wallet,2,101.6,25,152.4,3,3
ORD-1084,36,Male,Fashion,Bank Transfer,2,150.4,15,255.68,2,1
