server_id,server_type,cpu_utilization_pct,memory_utilization_pct,concurrent_requests,disk_io_mbs,response_time_ms
SRV_001,Standard,41.6,64.5,321,107.3,238.3
SRV_002,High-Memory,95.0,69.8,87,147.7,212.7
SRV_003,Standard,63.4,56.1,275,43.5,247.2
SRV_004,Standard,91.7,51.6,191,29.9,270.8
SRV_005,High-Memory,40.5,87.3,341,27.0,154.9
SRV_006,High-Memory,56.4,48.1,200,52.5,160.6
SRV_007,High-Memory,77.0,97.9,163,24.1,147.1
SRV_008,Standard,67.7,78.7,286,106.9,263.5
SRV_009,High-Memory,73.0,78.2,115,18.7,189.2
SRV_010,High-Memory,46.2,76.9,410,81.3,166.3
SRV_011,Standard,85.7,67.0,390,149.5,286.0
SRV_012,High-Memory,76.7,74.7,307,124.0,168.2
SRV_013,High-Memory,71.0,67.7,298,96.1,181.5
SRV_014,High-Memory,54.7,76.6,498,52.9,156.9
SRV_015,High-Memory,69.9,69.6,380,97.3,180.2
SRV_016,Standard,60.6,58.6,372,83.8,256.7
SRV_017,High-Memory,40.2,59.6,229,69.7,140.4
SRV_018,High-Memory,64.2,58.2,239,28.3,160.7
SRV_019,Standard,62.6,81.7,456,134.1,273.3
SRV_020,High-Memory,80.9,62.6,203,73.0,182.1
SRV_021,Standard,31.5,47.1,245,37.2,231.1
SRV_022,High-Memory,68.5,74.8,360,61.5,163.7
SRV_023,Standard,47.7,88.2,311,68.0,221.7
SRV_024,Standard,69.8,79.3,468,125.9,271.3
SRV_025,Standard,70.6,62.8,455,112.7,269.6
SRV_026,Standard,63.7,51.0,476,117.7,256.9
SRV_027,High-Memory,77.1,68.4,192,11.5,182.9
SRV_028,Standard,46.3,68.1,391,68.3,234.3
SRV_029,High-Memory,81.6,58.4,365,77.4,164.1
SRV_030,Standard,54.4,76.6,150,12.7,253.9
SRV_031,Standard,41.7,92.2,293,46.4,230.5
SRV_032,Standard,60.9,72.7,61,116.4,230.7
SRV_033,High-Memory,33.6,71.9,288,29.2,155.3
SRV_034,Standard,68.8,58.8,98,84.9,273.4
SRV_035,High-Memory,61.1,86.8,91,40.1,167.6
SRV_036,High-Memory,83.5,69.1,215,11.7,179.6
SRV_037,High-Memory,74.7,63.1,131,43.8,190.4
SRV_038,High-Memory,44.1,70.8,478,146.6,144.2
SRV_039,High-Memory,52.4,75.7,340,122.2,148.6
SRV_040,High-Memory,72.8,71.7,207,144.3,185.0
SRV_041,High-Memory,77.7,84.5,265,78.3,166.2
SRV_042,High-Memory,83.3,74.6,207,25.4,215.6
SRV_043,High-Memory,83.2,66.6,183,86.7,187.5
SRV_044,Standard,63.7,74.8,116,73.6,263.6
SRV_045,Standard,70.4,76.0,385,128.2,260.7
SRV_046,Standard,84.5,54.4,56,23.7,281.1
SRV_047,Standard,60.5,83.8,485,78.4,265.0
SRV_048,Standard,70.7,66.4,63,31.0,250.9
SRV_049,High-Memory,60.1,66.7,122,55.5,175.7
SRV_050,High-Memory,56.7,79.0,448,113.2,160.0
SRV_051,High-Memory,65.7,79.0,454,76.6,184.8
SRV_052,High-Memory,54.7,61.6,212,62.6,195.7
SRV_053,High-Memory,63.0,79.6,115,65.2,166.9
SRV_054,High-Memory,49.5,63.3,396,74.3,161.4
SRV_055,High-Memory,62.2,91.8,179,119.9,174.3
SRV_056,Standard,71.7,60.1,468,134.9,249.4
SRV_057,Standard,56.2,72.9,255,143.7,251.6
SRV_058,Standard,65.1,60.6,325,120.2,279.9
SRV_059,Standard,67.1,96.7,305,54.2,238.8
SRV_060,High-Memory,71.8,55.1,315,106.3,176.7
SRV_061,High-Memory,63.0,76.3,74,71.3,165.0
SRV_062,High-Memory,81.3,61.2,499,45.7,209.2
SRV_063,Standard,33.5,65.8,330,127.7,207.9
SRV_064,High-Memory,99.0,75.4,302,15.4,186.8
SRV_065,High-Memory,51.9,84.7,359,136.2,153.0
SRV_066,High-Memory,71.1,89.5,338,74.6,177.8
SRV_067,Standard,50.9,51.6,213,99.2,215.6
SRV_068,High-Memory,74.7,73.2,144,102.3,180.4
SRV_069,Standard,69.1,87.5,319,135.3,288.1
SRV_070,Standard,55.2,49.8,370,99.1,235.0
SRV_071,Standard,81.1,73.8,159,96.0,294.8
SRV_072,Standard,62.5,70.0,385,19.3,246.4
SRV_073,High-Memory,73.2,75.0,359,82.6,170.1
SRV_074,Standard,51.2,60.7,287,31.0,228.9
SRV_075,Standard,64.5,52.8,430,113.2,290.6
SRV_076,High-Memory,95.1,47.0,485,81.7,186.9
SRV_077,High-Memory,79.4,81.7,436,105.2,166.2
SRV_078,Standard,69.6,83.2,474,15.8,253.2
SRV_079,High-Memory,58.3,73.6,439,21.9,162.3
SRV_080,Standard,66.0,63.6,74,110.3,287.5
SRV_081,Standard,68.0,50.5,190,20.1,286.1
SRV_082,Standard,71.7,76.8,166,20.0,280.4
SRV_083,Standard,48.9,56.8,441,11.7,229.3
SRV_084,High-Memory,75.0,61.5,454,143.9,171.2
SRV_085,Standard,48.7,63.0,74,113.3,238.3
SRV_086,High-Memory,89.5,67.6,128,59.5,202.2
SRV_087,High-Memory,53.4,60.9,117,51.5,151.0
SRV_088,High-Memory,69.4,70.4,222,59.0,175.5
SRV_089,High-Memory,80.1,62.5,493,118.5,196.5
SRV_090,Standard,61.2,78.4,61,102.6,263.7
SRV_091,High-Memory,70.1,82.4,337,35.9,191.8
SRV_092,Standard,86.5,71.3,177,34.4,295.8
SRV_093,High-Memory,73.5,75.6,145,23.8,156.8
SRV_094,High-Memory,70.3,95.4,141,102.4,178.6
SRV_095,Standard,39.7,55.9,190,117.0,215.0
SRV_096,Standard,51.0,55.2,80,47.1,239.2
SRV_097,Standard,80.7,78.3,383,12.9,284.0
SRV_098,High-Memory,73.5,93.4,69,21.5,185.2
SRV_099,High-Memory,75.8,66.9,195,145.5,189.8
SRV_100,Standard,74.5,90.7,365,51.4,278.1
SRV_101,Standard,84.3,71.2,496,117.7,309.1
SRV_102,Standard,61.1,61.8,439,97.5,237.2
SRV_103,Standard,66.8,58.1,209,63.5,254.9
SRV_104,High-Memory,49.6,77.6,398,38.8,167.6
SRV_105,Standard,45.8,59.0,92,27.0,252.2
SRV_106,Standard,40.3,71.0,303,96.1,223.8
SRV_107,Standard,51.7,89.0,179,118.4,260.0
SRV_108,Standard,88.3,66.3,109,100.1,256.9
SRV_109,High-Memory,41.7,85.8,200,84.2,146.8
SRV_110,Standard,60.4,55.4,336,15.9,257.7
SRV_111,High-Memory,45.6,63.6,54,145.6,160.1
SRV_112,Standard,56.0,53.1,467,121.8,229.6
SRV_113,Standard,67.5,70.9,315,51.0,253.1
SRV_114,High-Memory,54.5,79.4,394,147.2,149.6
SRV_115,Standard,81.3,70.9,179,94.3,249.1
SRV_116,High-Memory,88.0,84.7,431,91.5,192.8
