user_id,session_duration_mins,clicks_count,pages_viewed,total_spend_k,loyalty_score
USR_0001,28.0,95,7,790.0,10.0
USR_0002,59.1,117,4,1254.6,10.0
USR_0003,41.7,75,17,885.6,10.0
USR_0004,39.9,97,9,944.8,10.0
USR_0005,14.1,43,3,376.4,6.4
USR_0006,53.5,100,18,1143.6,10.0
USR_0007,28.5,64,10,680.4,9.5
USR_0008,13.9,114,13,737.9,10.0
USR_0009,5.7,10,4,156.0,5.5
USR_0010,35.8,81,12,843.3,10.0
USR_0011,34.0,96,2,864.9,10.0
USR_0012,44.6,47,24,822.4,10.0
USR_0013,54.0,15,14,785.5,10.0
USR_0014,9.4,95,16,543.0,9.2
USR_0015,45.2,34,6,757.5,10.0
USR_0016,15.3,91,22,631.3,7.9
USR_0017,52.2,26,18,816.8,10.0
USR_0018,50.0,70,24,989.9,10.0
USR_0019,34.7,21,7,543.0,8.6
USR_0020,44.1,15,22,647.4,9.3
USR_0021,22.3,99,23,757.3,9.7
USR_0022,30.9,36,12,572.9,7.3
USR_0023,50.2,17,19,753.7,8.8
USR_0024,30.3,92,5,766.8,10.0
USR_0025,24.7,115,4,896.1,10.0
USR_0026,32.2,74,14,757.9,9.4
USR_0027,50.6,66,24,983.6,10.0
USR_0028,23.4,102,10,764.2,8.0
USR_0029,14.6,118,22,736.4,10.0
USR_0030,44.2,108,7,1085.9,10.0
USR_0031,50.4,49,13,909.1,10.0
USR_0032,10.5,23,3,273.8,5.8
USR_0033,18.2,44,4,459.6,8.1
USR_0034,12.8,57,4,469.5,7.7
USR_0035,24.1,118,13,893.5,10.0
USR_0036,29.8,93,16,816.9,10.0
USR_0037,46.2,65,10,939.6,10.0
USR_0038,40.8,58,24,798.8,10.0
USR_0039,39.2,22,9,651.4,9.6
USR_0040,24.4,70,12,671.0,10.0
USR_0041,51.3,111,17,1149.3,10.0
USR_0042,30.9,58,23,664.9,9.8
USR_0043,58.9,55,5,1040.2,10.0
USR_0044,39.9,71,2,836.3,10.0
USR_0045,11.9,17,8,252.3,3.4
USR_0046,42.2,52,3,782.2,10.0
USR_0047,22.9,29,6,447.3,8.5
USR_0048,42.7,106,8,1046.1,10.0
USR_0049,8.8,99,5,586.1,9.5
USR_0050,14.6,48,6,448.4,8.2
USR_0051,52.1,94,2,1104.5,10.0
USR_0052,17.5,58,2,500.5,7.1
USR_0053,51.0,73,16,1008.0,10.0
USR_0054,20.4,71,21,626.8,9.1
USR_0055,40.4,115,20,1049.7,10.0
USR_0056,43.2,116,11,1086.2,10.0
USR_0057,33.2,63,19,714.3,10.0
USR_0058,21.8,114,4,805.5,10.0
USR_0059,16.7,18,12,317.9,5.5
USR_0060,6.8,97,16,541.9,8.4
USR_0061,21.7,46,12,481.6,8.4
USR_0062,40.9,58,18,772.2,10.0
USR_0063,56.6,50,18,963.7,10.0
USR_0064,52.9,26,7,809.5,10.0
USR_0065,47.1,97,6,1048.3,10.0
USR_0066,48.4,30,9,778.3,10.0
USR_0067,41.6,60,3,822.6,10.0
USR_0068,19.3,68,17,589.0,7.9
USR_0069,54.9,48,21,928.6,10.0
USR_0070,41.9,64,13,838.2,10.0
USR_0071,35.8,50,7,736.6,10.0
USR_0072,11.1,48,2,390.4,6.5
USR_0073,29.6,22,5,508.8,6.8
USR_0074,30.3,73,18,737.0,10.0
USR_0075,52.6,20,14,788.3,9.7
USR_0076,35.1,119,19,974.4,10.0
USR_0077,25.9,28,6,471.4,8.4
USR_0078,58.7,20,4,852.5,10.0
USR_0079,11.1,86,12,567.4,8.4
USR_0080,28.2,55,14,620.9,7.4
USR_0081,7.3,54,5,365.0,7.0
USR_0082,45.7,10,15,677.3,10.0
USR_0083,55.5,49,23,944.0,10.0
USR_0084,20.4,117,12,809.1,10.0
USR_0085,52.2,28,11,789.3,10.0
USR_0086,21.1,85,20,668.1,10.0
USR_0087,55.1,81,19,1080.5,10.0
USR_0088,46.5,81,7,971.9,10.0
USR_0089,49.3,70,16,927.2,10.0
USR_0090,6.0,118,22,644.7,9.7
USR_0091,58.0,21,11,846.1,10.0
USR_0092,45.0,70,6,913.2,10.0
USR_0093,21.8,42,6,499.1,10.0
USR_0094,50.6,54,11,929.4,10.0
USR_0095,20.5,99,6,765.8,10.0
USR_0096,53.0,112,4,1157.1,10.0
USR_0097,11.2,101,24,601.2,8.8
USR_0098,43.7,78,7,927.6,10.0
USR_0099,34.7,17,5,533.0,8.8
USR_0100,10.3,34,19,337.2,6.7
USR_0101,18.3,100,10,715.6,10.0
USR_0102,5.7,55,18,363.4,7.0
USR_0103,30.8,96,14,842.9,10.0
USR_0104,21.6,39,16,511.2,6.5
USR_0105,37.9,118,21,996.2,10.0
USR_0106,21.3,56,18,552.8,8.7
USR_0107,21.5,96,14,707.2,10.0
USR_0108,45.9,58,17,885.1,10.0
USR_0109,7.6,56,23,343.5,7.0
USR_0110,54.7,93,5,1123.8,10.0
USR_0111,51.9,91,6,1087.7,10.0
USR_0112,41.7,27,6,665.7,10.0
USR_0113,37.6,75,10,822.5,10.0
USR_0114,54.1,77,18,1050.0,10.0
USR_0115,15.2,103,14,691.7,9.0
USR_0116,9.3,42,3,322.0,7.1
USR_0117,18.2,45,14,449.3,8.9
USR_0118,48.7,91,23,1063.5,10.0
USR_0119,6.9,110,22,592.8,9.2
USR_0120,37.1,28,24,615.8,8.0
USR_0121,59.7,37,20,966.2,10.0
USR_0122,52.1,49,4,897.3,10.0
USR_0123,33.7,93,11,882.4,10.0
USR_0124,8.5,106,3,588.2,8.7
USR_0125,50.7,85,14,1037.6,10.0
USR_0126,37.9,24,20,643.4,8.2
USR_0127,11.3,50,18,396.7,6.3
USR_0128,10.2,48,22,394.2,5.9
USR_0129,55.0,11,15,782.4,10.0
USR_0130,41.8,72,13,914.5,10.0
USR_0131,50.6,38,22,873.5,10.0
USR_0132,53.3,114,13,1168.5,10.0
USR_0133,36.4,83,12,864.0,10.0
USR_0134,33.5,75,8,767.4,10.0
USR_0135,28.7,60,5,664.6,8.8
USR_0136,22.4,84,20,684.2,10.0
USR_0137,28.9,86,2,751.3,9.8
USR_0138,47.6,19,4,746.0,8.9
USR_0139,38.1,23,14,626.9,7.9
USR_0140,54.1,91,16,1102.8,10.0
USR_0141,29.4,60,3,660.7,9.9
USR_0142,38.4,82,12,877.2,10.0
USR_0143,39.7,48,5,756.0,10.0
USR_0144,37.5,37,20,671.7,10.0
USR_0145,43.6,12,18,588.7,10.0
USR_0146,18.1,93,4,667.2,9.1
USR_0147,33.2,79,19,768.0,10.0
USR_0148,10.7,36,9,330.8,4.7
USR_0149,26.1,11,23,394.4,8.3
USR_0150,31.8,102,20,847.6,10.0
