project_id,lines_of_code_kloc,team_size_members,development_months,project_cost_million_idr
PRJ_001,67.7,10,7,362.0
PRJ_002,56.0,17,4,405.6
PRJ_003,230.4,9,17,715.9
PRJ_004,34.4,8,9,304.1
PRJ_005,131.4,3,6,346.6
PRJ_006,63.0,17,3,378.7
PRJ_007,19.3,9,15,366.0
PRJ_008,18.6,19,22,565.0
PRJ_009,52.1,4,9,223.0
PRJ_010,218.0,11,17,744.1
PRJ_011,77.8,11,16,453.5
PRJ_012,238.1,15,21,863.7
PRJ_013,149.6,8,22,608.6
PRJ_014,114.8,8,20,515.8
PRJ_015,149.2,22,12,706.0
PRJ_016,134.0,22,11,672.4
PRJ_017,192.1,23,10,777.9
PRJ_018,77.8,5,12,321.2
PRJ_019,94.7,19,19,640.3
PRJ_020,224.6,19,4,730.4
PRJ_021,237.1,14,8,746.8
PRJ_022,224.2,18,7,795.2
PRJ_023,110.7,17,11,558.3
PRJ_024,197.3,15,7,670.6
PRJ_025,124.3,3,20,476.2
PRJ_026,129.4,19,22,741.7
PRJ_027,59.1,5,11,301.8
PRJ_028,151.9,17,19,733.5
PRJ_029,54.7,6,19,387.0
PRJ_030,89.6,6,14,364.3
PRJ_031,215.2,20,9,810.6
PRJ_032,59.7,19,5,482.1
PRJ_033,27.1,21,12,471.7
PRJ_034,26.6,13,4,302.8
PRJ_035,235.8,22,5,839.0
PRJ_036,131.7,5,18,484.8
PRJ_037,108.3,10,4,430.8
PRJ_038,204.6,16,12,794.4
PRJ_039,210.6,3,8,497.4
PRJ_040,89.7,16,13,502.4
PRJ_041,176.5,4,9,486.8
PRJ_042,195.1,6,17,628.7
PRJ_043,167.1,21,8,703.0
PRJ_044,46.4,8,22,451.9
PRJ_045,220.2,3,11,526.4
PRJ_046,139.4,19,22,765.2
PRJ_047,77.8,10,14,418.9
PRJ_048,112.1,21,21,763.3
PRJ_049,19.0,23,22,641.0
PRJ_050,40.7,3,5,166.6
PRJ_051,193.7,7,17,609.4
PRJ_052,10.0,18,4,368.5
PRJ_053,110.0,8,23,528.8
PRJ_054,135.4,10,4,451.6
PRJ_055,23.1,15,5,334.7
PRJ_056,243.5,18,8,753.3
PRJ_057,64.3,5,17,359.9
PRJ_058,83.0,21,12,574.2
PRJ_059,82.9,14,11,465.4
PRJ_060,65.3,18,3,474.1
PRJ_061,10.4,13,18,360.3
PRJ_062,185.0,12,8,626.3
PRJ_063,242.0,22,11,877.1
PRJ_064,63.8,6,6,273.8
PRJ_065,169.1,14,4,593.1
PRJ_066,188.1,4,6,483.1
PRJ_067,213.6,24,3,809.2
PRJ_068,111.4,21,21,743.2
PRJ_069,82.7,7,12,372.6
PRJ_070,88.1,10,23,513.8
PRJ_071,181.0,9,17,603.2
PRJ_072,206.0,16,21,793.7
PRJ_073,53.6,5,18,423.2
PRJ_074,99.0,20,23,729.8
PRJ_075,226.5,18,6,719.9
PRJ_076,203.6,21,4,707.4
PRJ_077,246.4,21,15,923.1
PRJ_078,191.0,20,3,708.0
PRJ_079,104.4,22,19,718.1
PRJ_080,151.8,18,15,689.4
PRJ_081,168.6,10,6,526.3
PRJ_082,28.8,3,9,206.5
PRJ_083,140.7,19,19,726.9
PRJ_084,180.2,14,11,597.4
PRJ_085,50.2,23,6,505.6
PRJ_086,197.4,13,21,732.5
PRJ_087,150.1,7,3,430.1
PRJ_088,238.5,14,12,840.9
PRJ_089,20.2,19,6,406.5
PRJ_090,73.7,8,11,363.3
PRJ_091,154.4,3,15,498.5
PRJ_092,81.2,7,16,424.2
PRJ_093,181.5,16,12,704.2
PRJ_094,192.2,7,8,559.1
PRJ_095,34.6,24,18,651.7
PRJ_096,133.3,3,8,349.7
PRJ_097,132.1,20,19,736.1
PRJ_098,98.6,18,12,551.3
PRJ_099,233.9,11,20,794.9
PRJ_100,208.6,21,20,862.5
