umkm_id,monthly_revenue_million,business_experience_yrs,has_side_business,credit_history_good,num_dependents,loan_amount_million,credit_status_smooth
UMKM-101,5.03,3,0,1,5,20.2,0
UMKM-102,1.5,4,0,1,2,11.1,0
UMKM-103,5.21,2,1,1,1,33.5,1
UMKM-104,2.78,6,1,0,3,20.2,1
UMKM-105,6.07,6,1,1,1,31.3,1
UMKM-106,5.86,8,1,1,3,36.6,1
UMKM-107,6.84,8,1,0,2,38.4,1
UMKM-108,5.4,6,1,0,1,28.2,1
UMKM-109,7.48,1,1,1,3,31.1,1
UMKM-110,3.14,1,1,0,1,15.8,0
UMKM-111,7.1,6,0,1,2,32.4,1
UMKM-112,6.04,4,1,0,1,35.6,1
UMKM-113,12.01,6,1,1,2,47.8,1
UMKM-114,5.46,4,0,0,2,32.3,1
UMKM-115,5.43,4,0,0,1,26.8,0
UMKM-116,7.85,1,1,1,0,34.3,1
UMKM-117,1.5,6,1,1,4,13.4,0
UMKM-118,4.5,6,0,0,4,24.1,0
UMKM-119,3.32,7,0,0,4,23.7,0
UMKM-120,9.31,7,0,0,0,53.4,1
UMKM-121,7.24,1,0,0,2,31.3,0
UMKM-122,1.5,1,1,0,2,5.8,0
UMKM-123,7.21,5,1,1,2,35.8,1
UMKM-124,8.42,3,0,1,2,35.6,1
UMKM-125,3.41,2,1,1,0,24.1,1
UMKM-126,5.98,4,1,1,1,32.9,1
UMKM-127,3.45,5,0,1,3,9.9,1
UMKM-128,4.7,2,1,1,1,16.5,0
UMKM-129,3.5,3,0,0,2,10.5,0
UMKM-130,5.1,4,0,1,2,17.0,1
UMKM-131,7.44,6,1,0,1,39.0,1
UMKM-132,1.85,11,0,1,1,9.8,1
UMKM-133,9.78,6,0,0,0,42.9,1
UMKM-134,5.55,6,0,1,1,26.9,1
UMKM-135,4.32,3,0,1,0,25.2,1
UMKM-136,8.27,1,0,1,3,42.7,1
UMKM-137,5.15,6,1,0,2,33.4,1
UMKM-138,2.35,3,1,0,0,17.3,1
UMKM-139,5.87,4,1,1,2,35.8,1
UMKM-140,4.74,7,1,1,1,26.5,1
UMKM-141,6.28,2,0,1,1,24.6,1
UMKM-142,6.45,5,0,1,2,26.1,1
UMKM-143,9.98,3,1,1,2,42.7,1
UMKM-144,7.86,6,0,0,4,39.4,1
UMKM-145,3.8,5,0,1,1,21.6,1
UMKM-146,3.59,5,0,0,2,19.2,0
UMKM-147,3.79,1,0,1,4,18.6,0
UMKM-148,6.26,2,1,1,0,32.4,1
UMKM-149,9.68,6,0,0,1,43.4,1
UMKM-150,5.27,6,0,1,1,21.0,1
UMKM-151,6.77,4,0,1,1,32.7,1
UMKM-152,5.99,6,0,1,2,32.3,1
UMKM-153,10.46,5,1,0,0,31.7,1
UMKM-154,8.96,6,1,1,3,49.6,1
UMKM-155,5.45,3,1,0,2,26.0,1
UMKM-156,5.53,5,1,1,2,31.5,1
UMKM-157,8.84,6,1,0,3,38.4,1
UMKM-158,6.47,6,1,1,3,37.6,1
UMKM-159,4.12,4,0,1,1,27.3,1
UMKM-160,2.32,1,1,1,0,13.8,1
UMKM-161,4.7,5,1,0,3,23.7,0
UMKM-162,7.38,5,0,0,2,29.5,1
UMKM-163,5.55,6,0,1,1,32.6,1
UMKM-164,4.43,4,1,1,3,33.0,1
UMKM-165,4.32,6,0,0,1,22.9,0
UMKM-166,2.58,2,0,1,1,12.0,1
UMKM-167,4.66,5,1,1,3,33.2,1
UMKM-168,11.97,5,1,1,0,53.4,1
UMKM-169,7.11,5,0,1,2,27.1,1
UMKM-170,5.98,8,1,1,1,27.8,1
UMKM-171,7.18,3,0,1,2,35.5,1
UMKM-172,8.01,4,0,1,3,38.2,1
UMKM-173,3.87,6,0,1,0,27.0,1
UMKM-174,7.6,6,1,0,2,34.2,1
UMKM-175,9.46,3,0,1,0,46.9,1
UMKM-176,7.42,6,1,1,2,24.1,1
UMKM-177,9.64,4,1,1,5,38.4,1
UMKM-178,7.21,5,0,1,5,35.7,1
UMKM-179,6.77,6,1,1,0,35.6,1
UMKM-180,4.86,2,0,1,2,18.8,1
UMKM-181,8.06,3,1,1,4,34.9,1
UMKM-182,6.51,5,0,0,2,30.3,1
UMKM-183,10.91,7,1,1,2,48.7,1
UMKM-184,3.39,1,0,1,4,22.6,0
UMKM-185,1.5,5,1,0,1,13.8,0
UMKM-186,6.11,2,0,1,2,32.2,1
UMKM-187,10.33,4,0,1,0,47.8,1
UMKM-188,9.7,3,0,0,2,41.4,1
UMKM-189,4.54,6,0,1,1,28.4,1
UMKM-190,4.89,6,0,0,1,31.9,1
UMKM-191,4.27,5,0,1,0,26.0,1
UMKM-192,5.04,9,0,1,3,27.4,1
