customer_id,login_frequency,avg_cart_value_k,browsing_duration_min,review_interaction_score,search_queries_count,email_click_rate_pct,discount_sensitivity_score,customer_lifetime_value_k
CUST-4001,19,484.9,62.3,7.8,33,73.0,8.8,5207.3
CUST-4002,19,632.6,54.9,7.5,33,67.4,5.9,6390.0
CUST-4003,17,520.2,62.2,7.8,32,59.6,8.3,5366.8
CUST-4004,18,505.0,59.6,7.1,29,76.0,5.7,5099.7
CUST-4005,20,701.3,61.7,8.1,30,51.8,7.0,7082.8
CUST-4006,32,479.4,105.5,10.0,54,100.0,8.9,5724.7
CUST-4007,17,617.9,50.3,7.1,31,65.5,8.8,6232.4
CUST-4008,20,625.6,67.0,6.4,36,69.9,8.6,6422.8
CUST-4009,18,948.1,73.8,7.8,32,62.9,1.7,9255.6
CUST-4010,25,714.4,79.7,10.0,36,84.3,7.1,7407.5
CUST-4011,16,631.1,52.4,7.3,26,53.2,8.7,6268.3
CUST-4012,25,372.9,75.4,8.6,37,77.1,10.0,4668.5
CUST-4013,17,637.1,58.9,6.7,33,69.9,9.4,6597.8
CUST-4014,23,558.2,82.1,10.0,42,72.6,7.0,6125.4
CUST-4015,21,633.3,67.2,9.0,32,59.3,4.4,6442.2
CUST-4016,25,723.4,77.5,7.0,38,82.9,3.5,7555.6
CUST-4017,29,443.1,95.6,10.0,49,92.4,9.0,5400.0
CUST-4018,21,753.8,66.6,7.1,32,71.3,5.6,7458.3
CUST-4019,24,497.3,85.6,9.5,42,81.5,6.7,5592.6
CUST-4020,31,655.3,101.0,10.0,46,97.2,6.3,7184.9
CUST-4021,19,650.4,61.5,8.9,32,59.4,4.3,6551.2
CUST-4022,20,454.4,87.4,9.3,35,73.9,8.6,4835.2
CUST-4023,15,631.9,44.4,6.3,24,42.6,5.8,6310.7
CUST-4024,27,767.0,75.8,10.0,46,93.8,8.1,7875.7
CUST-4025,23,795.5,70.4,8.2,41,86.2,5.8,8150.2
CUST-4026,28,458.0,92.5,10.0,45,98.4,6.9,5470.8
CUST-4027,8,638.0,34.6,1.9,12,28.0,8.7,6146.1
CUST-4028,23,918.6,77.7,8.0,39,79.1,5.4,9092.6
CUST-4029,16,569.4,59.3,7.1,31,58.7,6.6,5699.7
CUST-4030,18,676.0,56.0,7.0,28,61.2,7.3,6773.1
