customer_id,annual_income_million,spending_score_1_100,purchase_frequency_yearly,avg_basket_items,tech_savviness_index
SEG-7001,44.0,23.9,4,1.8,58.7
SEG-7002,153.3,84.0,37,8.0,74.7
SEG-7003,51.2,95.5,24,2.0,85.3
SEG-7004,73.1,38.5,25,4.6,80.2
SEG-7005,40.9,28.8,7,3.2,48.0
SEG-7006,128.6,87.8,46,6.7,65.7
SEG-7007,38.3,88.1,36,3.2,93.6
SEG-7008,73.4,48.2,11,5.2,52.2
SEG-7009,28.9,17.1,11,3.9,53.0
SEG-7010,95.7,86.9,44,5.5,92.5
SEG-7011,45.3,83.8,23,3.0,98.2
SEG-7012,73.9,53.4,18,4.6,46.6
SEG-7013,45.5,34.5,10,3.2,38.3
SEG-7014,87.3,80.9,33,5.6,87.4
SEG-7015,40.1,77.6,8,2.6,88.5
SEG-7016,60.6,56.7,21,5.4,60.6
SEG-7017,39.8,18.7,11,3.0,52.1
SEG-7018,105.6,91.0,50,7.6,90.8
SEG-7019,49.0,71.6,23,1.9,93.6
SEG-7020,67.1,44.9,27,6.1,61.3
SEG-7021,15.6,28.9,6,2.5,43.4
SEG-7022,158.4,65.1,29,7.4,90.5
SEG-7023,30.5,70.0,39,3.0,89.0
SEG-7024,85.2,48.9,16,4.1,52.5
SEG-7025,24.2,28.7,15,2.0,51.7
SEG-7026,93.9,84.4,48,10.0,84.8
SEG-7027,58.7,94.3,42,3.1,95.8
SEG-7028,77.6,64.4,26,4.2,61.3
SEG-7029,39.1,13.9,10,4.6,33.6
SEG-7030,132.7,87.5,54,7.3,78.8
SEG-7031,55.8,71.7,42,2.6,96.3
SEG-7032,55.1,53.9,36,4.9,46.5
SEG-7033,46.4,21.2,8,2.3,33.2
SEG-7034,133.1,78.2,36,7.9,88.4
SEG-7035,68.4,90.3,27,3.1,88.1
SEG-7036,95.7,54.2,23,3.1,71.7
SEG-7037,30.3,20.1,9,2.7,49.9
SEG-7038,130.7,85.4,63,6.6,87.3
SEG-7039,35.1,83.6,34,2.6,94.5
SEG-7040,78.8,52.8,13,6.1,81.0
SEG-7041,46.2,22.9,17,3.4,56.7
SEG-7042,137.1,96.5,29,7.3,89.2
SEG-7043,51.4,74.4,42,2.2,93.5
SEG-7044,75.6,45.7,8,2.8,56.9
SEG-7045,57.0,19.2,11,4.9,45.4
SEG-7046,132.7,87.5,36,7.2,81.0
SEG-7047,54.9,70.7,26,2.7,98.0
SEG-7048,105.4,40.9,23,3.8,52.6
SEG-7049,17.8,38.8,10,4.0,34.5
SEG-7050,61.4,98.7,28,6.9,94.6
SEG-7051,56.3,76.1,40,2.3,96.0
SEG-7052,51.5,62.3,18,5.2,51.4
SEG-7053,26.9,22.8,14,3.0,46.9
SEG-7054,108.2,95.6,30,6.0,96.3
SEG-7055,22.6,95.2,29,2.8,93.6
SEG-7056,60.1,53.2,34,6.5,51.5
SEG-7057,47.4,15.6,11,3.3,57.4
SEG-7058,85.4,93.4,40,6.0,93.0
SEG-7059,48.8,58.0,36,1.5,90.1
SEG-7060,53.1,39.9,28,5.8,41.9
SEG-7061,32.7,25.5,16,3.6,32.9
SEG-7062,87.7,90.3,52,7.6,80.0
SEG-7063,62.6,80.9,8,2.3,96.1
SEG-7064,47.7,56.7,14,5.3,49.8
SEG-7065,18.8,26.8,11,4.4,53.3
SEG-7066,80.3,87.6,54,9.8,99.9
SEG-7067,84.3,70.9,33,3.9,98.4
SEG-7068,59.9,32.8,12,5.8,58.7
SEG-7069,33.2,20.4,9,3.7,44.7
SEG-7070,130.8,71.9,62,10.3,93.6
SEG-7071,24.0,86.9,18,2.8,97.8
SEG-7072,86.1,55.3,33,5.2,50.3
SEG-7073,29.7,25.2,14,2.3,53.2
SEG-7074,119.4,81.3,35,7.8,87.4
SEG-7075,52.1,85.5,17,1.6,86.8
SEG-7076,86.6,46.6,22,5.7,67.9
SEG-7077,29.7,13.6,10,2.0,44.3
SEG-7078,100.8,87.3,46,8.0,90.1
SEG-7079,97.6,59.6,49,1.9,85.2
SEG-7080,55.6,55.3,23,4.3,53.0
SEG-7081,27.4,29.7,15,3.0,38.2
SEG-7082,110.6,66.5,44,9.1,82.0
SEG-7083,47.4,89.2,32,2.7,94.5
SEG-7084,72.1,61.1,13,5.0,32.6
SEG-7085,30.8,41.0,8,2.3,44.3
SEG-7086,141.6,90.4,39,11.0,84.5
SEG-7087,72.1,93.9,22,1.6,94.7
SEG-7088,72.8,48.3,23,4.9,78.7
SEG-7089,15.0,35.2,12,3.1,35.3
SEG-7090,150.8,75.7,46,10.2,71.8
SEG-7091,59.7,81.1,33,2.2,94.9
SEG-7092,85.6,45.0,34,3.6,51.9
SEG-7093,47.0,23.3,9,2.8,60.1
SEG-7094,139.8,77.6,26,10.7,87.0
SEG-7095,48.7,68.9,13,1.7,93.5
SEG-7096,62.6,64.5,27,4.3,48.9
SEG-7097,47.9,22.0,19,3.3,31.4
SEG-7098,69.0,79.1,59,8.1,65.0
SEG-7099,45.6,75.1,40,2.8,91.3
SEG-7100,74.5,70.2,28,4.1,68.2
SEG-7101,46.3,43.6,12,2.9,48.6
SEG-7102,108.1,86.2,36,8.5,73.3
SEG-7103,67.7,86.0,16,2.9,89.2
SEG-7104,91.2,58.0,28,5.7,47.5
SEG-7105,15.0,26.1,8,3.4,30.1
SEG-7106,139.5,89.1,32,7.1,88.4
SEG-7107,68.3,80.3,24,2.6,90.9
SEG-7108,62.0,33.9,22,4.0,58.5
SEG-7109,15.0,31.7,10,3.3,60.0
SEG-7110,158.8,90.3,34,8.4,87.4
SEG-7111,59.0,79.4,36,2.9,98.1
SEG-7112,82.3,41.1,20,5.0,65.0
SEG-7113,30.1,24.9,11,2.8,49.1
SEG-7114,142.7,99.2,55,7.9,95.2
