transaction_id,items
TRX-8001,"Webcam, USB Microphone, Ring Light, Powerbank"
TRX-8002,"Laptop, Mechanical Keyboard, Mouse Pad"
TRX-8003,"Smartphone, Screen Protector, Phone Case"
TRX-8004,"Webcam, USB Microphone, Ring Light, Mouse Pad"
TRX-8005,"Mechanical Keyboard, Wireless Mouse, Headset, Phone Case"
TRX-8006,"Webcam, USB Microphone, Ring Light, Wireless Mouse, Laptop"
TRX-8007,"External SSD, USB Hub, Laptop Stand, Bluetooth Speaker, Smartphone"
TRX-8008,"Laptop, Wireless Mouse, Laptop Bag"
TRX-8009,"External SSD, USB Hub, Laptop Stand"
TRX-8010,"Monitor, HDMI Cable, DisplayPort Cable, Bluetooth Speaker"
TRX-8011,"Smartphone, Powerbank, Fast Charger, Wireless Mouse"
TRX-8012,"Laptop, Mechanical Keyboard, Mouse Pad"
TRX-8013,"Webcam, USB Microphone, Ring Light, External SSD"
TRX-8014,"Monitor, HDMI Cable, DisplayPort Cable, Laptop Stand"
TRX-8015,"Mechanical Keyboard, Wireless Mouse, Headset, Bluetooth Speaker, Powerbank"
TRX-8016,"External SSD, USB Hub, Laptop Stand"
TRX-8017,"Mechanical Keyboard, Wireless Mouse, Headset"
TRX-8018,"External SSD, USB Hub, Laptop Stand, Laptop, Mouse Pad"
TRX-8019,"Laptop, Wireless Mouse, Laptop Bag"
TRX-8020,"Smartphone, Screen Protector, Phone Case, DisplayPort Cable, External SSD"
TRX-8021,"Laptop, Mechanical Keyboard, Mouse Pad, External SSD"
TRX-8022,"Laptop, Wireless Mouse, Laptop Bag, Smartwatch, Mechanical Keyboard"
TRX-8023,"Mechanical Keyboard, Wireless Mouse, Headset, Laptop Stand, HDMI Cable"
TRX-8024,"Webcam, USB Microphone, Ring Light"
TRX-8025,"Laptop, Wireless Mouse, Laptop Bag"
TRX-8026,"Mechanical Keyboard, Wireless Mouse, Headset, Laptop, Phone Case"
TRX-8027,"Laptop, Wireless Mouse, Laptop Bag, Screen Protector"
TRX-8028,"Monitor, HDMI Cable, DisplayPort Cable, Phone Case"
TRX-8029,"External SSD, USB Hub, Laptop Stand, Powerbank"
TRX-8030,"External SSD, USB Hub, Laptop Stand, Laptop"
TRX-8031,"Smartphone, Powerbank, Fast Charger, Mechanical Keyboard"
TRX-8032,"External SSD, USB Hub, Laptop Stand"
TRX-8033,"Smartphone, Powerbank, Fast Charger, Laptop Bag"
TRX-8034,"Smartphone, Screen Protector, Phone Case, Powerbank"
TRX-8035,"Smartphone, Powerbank, Fast Charger, Screen Protector, Smartwatch"
TRX-8036,"Laptop, Wireless Mouse, Laptop Bag, Smartwatch, External SSD"
TRX-8037,"External SSD, USB Hub, Laptop Stand"
TRX-8038,"Webcam, USB Microphone, Ring Light, Monitor"
TRX-8039,"Webcam, USB Microphone, Ring Light, Powerbank, Mechanical Keyboard"
TRX-8040,"External SSD, USB Hub, Laptop Stand, Phone Case"
