experiment_id,binomial_heads_in_10,poisson_server_reqs_per_min,normal_measurement_error,exponential_response_time_ms,dice_roll_sum_2d6
EXP-1001,6,12,1.164,1.21,8
EXP-1002,4,15,-0.241,4.38,4
EXP-1003,1,14,-1.002,54.87,7
EXP-1004,9,11,2.336,46.99,11
EXP-1005,3,12,0.253,17.05,4
EXP-1006,6,9,-0.294,39.53,9
EXP-1007,5,8,0.892,28.4,8
EXP-1008,5,18,-0.584,13.76,7
EXP-1009,4,16,-0.662,30.18,4
EXP-1010,5,12,-0.522,29.02,7
EXP-1011,5,8,0.458,5.8,3
EXP-1012,6,12,1.483,10.85,8
EXP-1013,6,11,-1.483,186.55,2
EXP-1014,8,5,0.695,35.97,7
EXP-1015,5,4,2.002,13.87,7
EXP-1016,3,11,-0.343,39.49,10
EXP-1017,6,8,-0.778,24.45,10
EXP-1018,5,15,0.487,291.26,2
EXP-1019,7,18,-0.184,33.87,11
EXP-1020,5,13,1.358,13.79,7
EXP-1021,5,8,-0.337,0.44,7
EXP-1022,3,13,-0.407,12.92,4
EXP-1023,2,17,0.253,18.17,10
EXP-1024,4,9,1.675,11.62,7
EXP-1025,4,18,1.759,8.85,4
EXP-1026,5,19,0.024,34.79,12
EXP-1027,3,10,-0.77,53.76,7
EXP-1028,6,13,-1.332,17.5,8
EXP-1029,2,14,-0.217,16.73,4
EXP-1030,7,12,1.46,0.25,5
EXP-1031,5,9,-0.316,63.34,9
EXP-1032,4,10,1.709,29.83,5
EXP-1033,8,9,0.457,28.22,3
EXP-1034,4,6,1.344,81.28,11
EXP-1035,4,16,-1.892,177.7,6
EXP-1036,6,8,1.755,14.67,7
EXP-1037,6,12,1.912,43.7,4
EXP-1038,5,13,0.74,38.9,8
EXP-1039,3,10,-0.3,185.65,4
EXP-1040,6,10,0.144,8.72,11
EXP-1041,5,13,-0.506,28.12,11
EXP-1042,6,20,0.155,4.03,10
EXP-1043,5,8,-0.555,34.06,10
EXP-1044,5,14,1.529,14.56,10
EXP-1045,6,9,2.318,45.71,5
EXP-1046,6,16,0.632,2.48,7
EXP-1047,4,10,1.274,25.2,10
EXP-1048,6,7,0.831,28.56,3
EXP-1049,6,13,0.471,7.26,5
EXP-1050,5,7,-0.003,3.77,5
EXP-1051,3,6,-0.782,8.67,11
EXP-1052,7,13,0.872,30.79,10
EXP-1053,4,8,-0.273,9.35,8
EXP-1054,3,10,-0.467,7.76,6
EXP-1055,4,11,1.877,176.59,6
EXP-1056,3,5,-0.09,14.96,8
EXP-1057,4,14,-0.089,21.73,5
EXP-1058,5,15,-0.194,4.76,5
EXP-1059,5,8,-1.58,86.08,9
EXP-1060,4,20,1.489,64.29,7
EXP-1061,5,12,-0.589,3.7,9
EXP-1062,5,10,-0.113,130.71,8
EXP-1063,6,14,-0.038,171.64,10
EXP-1064,4,9,-0.581,45.55,8
EXP-1065,2,11,-0.432,15.74,10
EXP-1066,4,13,-1.554,18.61,5
EXP-1067,2,16,0.108,27.3,12
EXP-1068,3,12,0.356,78.14,9
EXP-1069,7,17,-0.483,34.96,11
EXP-1070,3,12,0.946,178.18,8
EXP-1071,4,13,-0.058,18.26,7
EXP-1072,3,22,-0.297,34.96,3
EXP-1073,6,11,-1.137,67.73,10
EXP-1074,4,8,0.133,52.14,10
EXP-1075,5,8,-0.21,41.85,7
EXP-1076,4,11,-0.859,16.86,6
EXP-1077,7,16,-0.346,49.89,7
EXP-1078,6,5,0.216,19.39,8
EXP-1079,4,9,-1.287,1.32,9
EXP-1080,5,8,-0.185,27.2,5
EXP-1081,6,7,0.628,24.06,7
EXP-1082,7,11,0.653,6.64,6
EXP-1083,5,12,-0.224,0.85,4
EXP-1084,4,13,-0.207,83.75,6
EXP-1085,6,14,-0.517,58.49,8
EXP-1086,5,12,-1.09,116.06,11
EXP-1087,6,9,-0.04,27.06,4
EXP-1088,2,6,0.566,47.48,8
EXP-1089,7,8,0.41,33.29,5
EXP-1090,6,10,1.567,48.09,7
EXP-1091,5,7,1.239,75.49,12
EXP-1092,5,15,-0.373,11.56,4
EXP-1093,5,10,0.416,80.1,7
EXP-1094,4,17,-0.376,105.44,5
EXP-1095,4,12,-0.234,29.48,8
EXP-1096,5,17,-0.982,97.18,5
EXP-1097,4,13,0.626,79.67,8
EXP-1098,5,12,-0.727,5.85,6
EXP-1099,3,15,0.009,38.05,8
EXP-1100,3,9,0.631,61.9,4
EXP-1101,4,12,-1.099,53.49,8
EXP-1102,6,16,-0.085,13.14,8
EXP-1103,6,10,0.545,53.0,8
EXP-1104,9,6,0.53,8.2,7
EXP-1105,4,6,-0.137,7.85,3
EXP-1106,6,8,0.298,26.41,6
EXP-1107,7,12,-1.541,10.87,8
EXP-1108,4,17,-0.125,55.63,10
EXP-1109,6,12,1.163,20.15,8
EXP-1110,7,10,-0.235,17.16,5
EXP-1111,3,14,-1.054,16.32,5
EXP-1112,5,10,-0.292,46.1,10
EXP-1113,3,7,-0.673,65.54,9
EXP-1114,5,15,0.396,29.8,5
EXP-1115,4,9,0.165,12.82,2
EXP-1116,6,7,0.013,31.08,7
EXP-1117,5,7,0.228,84.53,6
EXP-1118,4,12,-0.807,203.32,11
EXP-1119,4,13,0.152,18.23,9
EXP-1120,5,14,-1.087,55.51,7
EXP-1121,3,17,-0.359,67.36,7
EXP-1122,3,12,0.125,16.94,6
EXP-1123,5,9,-1.04,16.94,6
EXP-1124,4,9,-0.255,162.39,6
EXP-1125,3,14,-0.61,19.05,5
