module_id,team,lines_of_code,cyclomatic_complexity,code_coverage_pct,pr_review_time_hrs,defect_count,defect_density_kloc
MOD_001,Backend,1010,18.6,80.8,15.3,2,1.98
MOD_002,Backend,1444,28.1,68.3,25.6,8,5.54
MOD_003,Mobile App,1280,23.8,90.7,25.4,2,1.56
MOD_004,Backend,1245,22.8,78.6,19.8,3,2.41
MOD_005,Backend,1788,32.8,88.5,31.8,7,3.91
MOD_006,Core Engine,2319,42.1,90.8,39.0,5,2.16
MOD_007,Core Engine,616,14.8,66.5,14.4,4,6.49
MOD_008,Backend,1388,26.4,94.6,25.1,6,4.32
MOD_009,Mobile App,480,14.9,88.9,11.7,4,8.33
MOD_010,Core Engine,1632,29.8,70.8,31.4,5,3.06
MOD_011,Frontend,2285,38.7,81.7,34.3,9,3.94
MOD_012,Frontend,280,10.5,81.1,14.0,1,3.57
MOD_013,Frontend,1835,32.0,78.3,30.8,11,5.99
MOD_014,Mobile App,919,18.0,88.5,21.1,6,6.53
MOD_015,Backend,1665,32.5,95.2,29.1,4,2.4
MOD_016,Frontend,1365,24.9,78.1,24.3,5,3.66
MOD_017,Mobile App,1105,16.3,94.0,18.2,6,5.43
MOD_018,Core Engine,2474,42.8,89.9,40.0,8,3.23
MOD_019,Backend,1334,24.2,80.8,25.7,8,6.0
MOD_020,Core Engine,609,13.6,80.1,13.9,1,1.64
MOD_021,Mobile App,171,8.5,64.2,9.5,3,17.54
MOD_022,Frontend,2450,41.4,60.0,39.8,13,5.31
MOD_023,Frontend,897,18.9,80.0,15.0,2,2.23
MOD_024,Mobile App,624,10.3,67.7,15.4,2,3.21
MOD_025,Frontend,1232,21.6,77.5,20.7,11,8.93
MOD_026,Backend,2197,40.8,71.6,36.6,8,3.64
MOD_027,Mobile App,1125,21.8,56.5,20.1,7,6.22
MOD_028,Core Engine,1956,31.0,82.3,28.7,13,6.65
MOD_029,Mobile App,339,7.9,73.0,12.9,4,11.8
MOD_030,Backend,712,13.7,79.0,16.5,3,4.21
MOD_031,Backend,2049,35.9,67.3,33.7,7,3.42
