user_id,role,sus_q1,sus_q2,sus_q3,sus_q4,sus_q5,sus_q6,sus_q7,sus_q8,sus_q9,sus_q10,calculated_sus_score,tam_perceived_usefulness,tam_perceived_ease_of_use
USR_001,Mahasiswa,5,1,5,1,4,1,4,2,4,3,85.0,4.15,4.87
USR_002,Mahasiswa,3,1,4,2,3,2,5,2,4,2,75.0,4.31,4.0
USR_003,Dosen,5,1,4,3,5,2,5,1,4,1,87.5,4.32,3.89
USR_004,Dosen,5,2,3,2,5,2,4,3,4,2,75.0,4.65,4.05
USR_005,Mahasiswa,5,2,4,2,4,1,5,1,4,1,87.5,3.43,3.9
USR_006,Mahasiswa,4,1,5,1,5,2,4,1,5,1,92.5,3.46,3.57
USR_007,Dosen,4,2,4,2,5,2,4,1,3,1,80.0,4.46,3.4
USR_008,Mahasiswa,4,2,5,2,4,2,4,2,5,2,80.0,3.18,3.54
USR_009,Staff Tendik,5,1,5,1,5,2,5,2,5,2,92.5,4.29,4.52
USR_010,Staff Tendik,3,1,5,1,5,2,5,2,5,1,90.0,3.61,3.62
USR_011,Dosen,3,1,4,3,5,2,4,3,4,1,75.0,4.99,3.91
USR_012,Mahasiswa,4,1,4,1,3,1,3,1,5,1,85.0,4.33,4.42
USR_013,Dosen,5,2,4,1,4,2,4,2,4,1,82.5,4.09,3.83
USR_014,Mahasiswa,4,1,5,1,5,2,4,1,3,1,87.5,4.81,4.38
USR_015,Mahasiswa,5,2,5,1,4,1,4,3,4,1,85.0,3.67,3.08
USR_016,Mahasiswa,5,2,4,2,4,1,5,2,5,2,85.0,3.76,3.92
USR_017,Mahasiswa,3,1,5,2,4,1,4,2,3,1,80.0,3.57,4.05
USR_018,Staff Tendik,5,2,4,2,4,2,4,2,4,1,80.0,3.77,4.01
USR_019,Dosen,4,1,5,1,5,2,3,1,5,1,90.0,4.23,3.01
USR_020,Dosen,5,3,3,1,5,2,5,1,5,3,82.5,4.45,4.72
USR_021,Mahasiswa,4,1,5,2,4,2,5,2,4,2,82.5,4.68,3.49
USR_022,Mahasiswa,5,2,4,1,3,2,3,1,3,2,75.0,3.29,4.2
USR_023,Mahasiswa,5,2,5,1,3,1,5,1,5,1,92.5,4.11,4.0
USR_024,Staff Tendik,5,1,5,2,5,1,4,1,4,2,90.0,3.65,4.6
USR_025,Mahasiswa,5,2,5,1,5,2,3,2,4,1,85.0,4.1,5.31
USR_026,Staff Tendik,4,3,3,2,4,1,4,1,3,2,72.5,5.37,3.23
USR_027,Mahasiswa,5,2,4,1,5,1,4,1,5,3,87.5,4.35,3.61
USR_028,Mahasiswa,5,2,4,1,5,2,4,2,5,2,85.0,4.65,4.11
USR_029,Dosen,4,3,4,1,5,2,5,2,5,2,82.5,5.18,3.34
USR_030,Mahasiswa,3,1,3,3,5,3,5,1,5,2,77.5,4.76,4.47
USR_031,Staff Tendik,5,1,5,2,4,3,5,1,4,1,87.5,3.98,4.51
USR_032,Staff Tendik,5,2,4,3,5,2,4,1,4,3,77.5,3.56,4.34
USR_033,Mahasiswa,5,1,4,2,4,2,4,1,4,1,85.0,4.18,4.14
USR_034,Mahasiswa,4,2,4,1,5,2,5,1,4,1,87.5,3.92,4.82
USR_035,Mahasiswa,5,3,4,2,5,2,4,2,4,1,80.0,3.44,3.31
USR_036,Staff Tendik,4,1,5,2,5,1,3,2,5,1,87.5,4.32,4.04
USR_037,Mahasiswa,5,1,4,2,5,2,4,2,5,1,87.5,4.33,3.56
USR_038,Dosen,3,2,5,1,3,2,5,1,5,1,85.0,5.08,4.53
USR_039,Dosen,5,1,4,2,4,1,4,2,4,1,85.0,4.02,2.9
USR_040,Dosen,5,2,5,1,5,2,3,1,5,2,87.5,4.34,3.98
USR_041,Mahasiswa,3,1,5,1,5,2,5,3,5,1,87.5,3.87,4.2
USR_042,Dosen,5,2,4,2,3,1,4,2,4,1,80.0,4.64,3.43
USR_043,Staff Tendik,4,1,5,2,3,1,4,1,5,2,85.0,4.14,3.62
USR_044,Mahasiswa,5,2,4,1,3,1,4,2,4,1,82.5,3.61,4.01
USR_045,Mahasiswa,5,1,5,1,5,1,4,1,4,2,92.5,4.19,4.57
USR_046,Staff Tendik,4,2,4,2,5,1,5,2,4,2,82.5,4.4,3.38
USR_047,Mahasiswa,5,1,5,2,4,2,4,1,4,2,85.0,4.33,3.48
USR_048,Staff Tendik,5,2,5,3,4,1,4,1,4,2,82.5,4.72,4.68
USR_049,Mahasiswa,4,3,5,3,5,2,5,3,5,1,80.0,3.48,3.84
USR_050,Mahasiswa,4,1,5,2,5,1,5,1,5,2,92.5,3.78,3.53
USR_051,Staff Tendik,5,1,4,1,4,3,5,2,5,1,87.5,4.52,4.44
USR_052,Mahasiswa,5,1,3,2,4,1,4,1,5,1,87.5,3.84,3.71
USR_053,Mahasiswa,5,2,4,1,4,2,4,2,4,2,80.0,4.32,4.62
USR_054,Mahasiswa,5,2,4,1,4,3,5,2,5,1,85.0,2.99,3.6
USR_055,Mahasiswa,4,2,5,2,4,2,5,2,3,2,77.5,5.56,3.9
USR_056,Mahasiswa,5,1,4,1,5,1,3,1,4,2,87.5,4.07,4.57
USR_057,Mahasiswa,3,1,5,3,5,2,3,1,4,2,77.5,4.8,3.86
USR_058,Staff Tendik,4,2,5,2,5,2,4,1,4,3,80.0,4.03,4.45
