respondent_id,item_01,item_02,item_03,item_04,item_05,item_06,item_07,item_08,item_09,item_10,item_11,item_12
RESP_001,3,3,3,3,3,3,3,3,3,3,4,4
RESP_002,3,3,2,3,3,3,3,3,3,3,3,3
RESP_003,3,2,3,2,3,2,2,3,3,4,2,3
RESP_004,4,4,4,4,4,4,4,4,4,4,5,4
RESP_005,3,3,3,2,3,3,3,3,3,3,3,3
RESP_006,3,4,2,3,3,3,3,4,3,3,3,3
RESP_007,4,4,3,4,4,4,3,4,4,4,3,4
RESP_008,2,2,2,2,2,2,1,2,2,3,2,3
RESP_009,5,4,5,5,5,4,4,5,5,5,5,4
RESP_010,2,2,2,2,3,2,3,2,2,2,3,1
RESP_011,3,4,4,4,3,4,4,5,4,5,4,4
RESP_012,4,3,4,4,4,4,3,3,4,4,4,4
RESP_013,4,5,5,4,4,4,4,4,4,4,4,4
RESP_014,4,3,3,5,3,3,3,3,4,3,4,4
RESP_015,5,5,5,5,5,5,5,5,5,5,5,5
RESP_016,4,4,4,5,4,4,4,4,5,4,4,4
RESP_017,4,4,5,5,4,4,4,5,5,5,4,5
RESP_018,4,4,3,4,4,3,3,3,4,4,3,3
RESP_019,4,5,4,4,4,4,4,4,3,4,4,4
RESP_020,5,4,5,5,5,5,5,4,5,5,5,5
RESP_021,3,3,3,3,4,4,4,4,4,3,3,3
RESP_022,4,4,4,4,4,4,4,4,4,5,4,4
RESP_023,5,5,4,5,5,4,5,4,5,5,5,4
RESP_024,3,3,3,4,4,3,4,3,3,3,2,3
RESP_025,3,3,3,2,2,2,2,3,3,2,2,3
RESP_026,4,4,3,4,5,4,4,4,3,4,4,3
RESP_027,4,4,4,4,4,5,5,5,4,4,4,4
RESP_028,2,3,3,3,3,3,3,3,3,3,3,4
RESP_029,4,5,5,4,4,5,4,4,5,5,4,4
RESP_030,4,4,4,4,4,4,4,4,4,5,4,4
RESP_031,2,2,2,3,2,2,2,2,2,3,2,2
RESP_032,3,3,4,4,4,3,3,4,2,3,3,3
RESP_033,3,3,3,4,3,3,4,3,3,4,4,3
RESP_034,4,3,3,4,4,4,3,4,4,3,4,3
RESP_035,3,3,4,4,3,4,4,4,3,2,4,4
RESP_036,4,3,3,4,3,3,4,3,3,3,3,4
RESP_037,5,5,5,5,5,5,4,4,5,5,5,5
RESP_038,4,3,3,3,4,3,4,4,4,3,4,4
RESP_039,3,3,3,3,4,3,3,3,3,3,3,4
RESP_040,4,4,4,4,4,4,4,4,4,4,4,4
RESP_041,5,4,4,4,4,5,4,4,5,4,3,4
RESP_042,4,3,4,3,4,4,4,4,3,4,4,4
