ui_component_id,expert_1,expert_2,expert_3,expert_4
TASK_01,Pass,Pass,Pass,Severe_Violation
TASK_02,Minor_Issue,Minor_Issue,Minor_Issue,Severe_Violation
TASK_03,Minor_Issue,Minor_Issue,Minor_Issue,Minor_Issue
TASK_04,Severe_Violation,Severe_Violation,Severe_Violation,Severe_Violation
TASK_05,Minor_Issue,Pass,Minor_Issue,Minor_Issue
TASK_06,Pass,Severe_Violation,Pass,Pass
TASK_07,Pass,Pass,Pass,Pass
TASK_08,Minor_Issue,Minor_Issue,Minor_Issue,Minor_Issue
TASK_09,Pass,Pass,Pass,Pass
TASK_10,Pass,Pass,Pass,Pass
TASK_11,Minor_Issue,Minor_Issue,Minor_Issue,Severe_Violation
TASK_12,Pass,Pass,Pass,Pass
TASK_13,Pass,Pass,Pass,Pass
TASK_14,Pass,Pass,Pass,Pass
TASK_15,Pass,Pass,Pass,Pass
TASK_16,Pass,Pass,Minor_Issue,Pass
TASK_17,Minor_Issue,Minor_Issue,Minor_Issue,Minor_Issue
TASK_18,Severe_Violation,Severe_Violation,Severe_Violation,Severe_Violation
TASK_19,Pass,Pass,Pass,Pass
TASK_20,Minor_Issue,Minor_Issue,Minor_Issue,Minor_Issue
TASK_21,Pass,Pass,Pass,Pass
TASK_22,Minor_Issue,Minor_Issue,Minor_Issue,Minor_Issue
TASK_23,Severe_Violation,Severe_Violation,Minor_Issue,Severe_Violation
TASK_24,Minor_Issue,Minor_Issue,Minor_Issue,Minor_Issue
TASK_25,Severe_Violation,Severe_Violation,Severe_Violation,Severe_Violation
TASK_26,Pass,Pass,Pass,Pass
TASK_27,Pass,Minor_Issue,Pass,Pass
TASK_28,Severe_Violation,Minor_Issue,Minor_Issue,Severe_Violation
TASK_29,Pass,Pass,Pass,Pass
TASK_30,Pass,Pass,Pass,Pass
TASK_31,Minor_Issue,Minor_Issue,Minor_Issue,Pass
TASK_32,Severe_Violation,Severe_Violation,Severe_Violation,Severe_Violation
TASK_33,Severe_Violation,Severe_Violation,Severe_Violation,Severe_Violation
TASK_34,Pass,Pass,Pass,Pass
TASK_35,Severe_Violation,Severe_Violation,Severe_Violation,Severe_Violation
TASK_36,Pass,Pass,Pass,Pass
TASK_37,Pass,Severe_Violation,Severe_Violation,Pass
TASK_38,Minor_Issue,Minor_Issue,Minor_Issue,Minor_Issue
TASK_39,Pass,Pass,Pass,Pass
TASK_40,Pass,Pass,Pass,Pass
TASK_41,Minor_Issue,Minor_Issue,Minor_Issue,Minor_Issue
TASK_42,Pass,Severe_Violation,Pass,Pass
TASK_43,Pass,Pass,Pass,Pass
TASK_44,Pass,Pass,Pass,Pass
TASK_45,Minor_Issue,Minor_Issue,Minor_Issue,Minor_Issue
TASK_46,Minor_Issue,Minor_Issue,Minor_Issue,Minor_Issue
TASK_47,Minor_Issue,Minor_Issue,Minor_Issue,Minor_Issue
TASK_48,Minor_Issue,Minor_Issue,Minor_Issue,Pass
TASK_49,Minor_Issue,Minor_Issue,Minor_Issue,Minor_Issue
TASK_50,Severe_Violation,Severe_Violation,Severe_Violation,Severe_Violation
TASK_51,Pass,Pass,Pass,Pass
TASK_52,Pass,Minor_Issue,Pass,Pass
TASK_53,Severe_Violation,Severe_Violation,Severe_Violation,Severe_Violation
TASK_54,Pass,Pass,Minor_Issue,Pass
TASK_55,Severe_Violation,Severe_Violation,Severe_Violation,Severe_Violation
TASK_56,Minor_Issue,Minor_Issue,Minor_Issue,Minor_Issue
TASK_57,Minor_Issue,Minor_Issue,Pass,Minor_Issue
TASK_58,Pass,Pass,Pass,Pass
TASK_59,Pass,Pass,Pass,Pass
TASK_60,Pass,Pass,Pass,Pass
