endpoint_name,method,latency_before_ms,latency_after_ms,memory_mb_before,memory_mb_after
api_endpoint_001,GET,281.9,148.7,136.6,82.6
api_endpoint_002,PUT,293.7,164.2,113.7,84.6
api_endpoint_003,POST,298.5,204.1,150.0,87.2
api_endpoint_004,POST,336.2,222.1,127.6,78.6
api_endpoint_005,GET,425.7,324.9,128.2,81.3
api_endpoint_006,PUT,287.8,174.1,162.6,81.7
api_endpoint_007,POST,301.3,161.1,106.5,98.3
api_endpoint_008,PUT,317.2,195.1,132.3,50.4
api_endpoint_009,POST,337.8,217.6,124.4,88.6
api_endpoint_010,PUT,331.9,230.5,138.6,75.7
api_endpoint_011,GET,377.8,297.5,166.6,76.2
api_endpoint_012,PUT,210.8,105.0,115.9,84.1
api_endpoint_013,POST,212.6,78.5,104.1,91.8
api_endpoint_014,GET,297.7,218.2,111.8,88.8
api_endpoint_015,PUT,369.4,280.5,123.3,76.0
api_endpoint_016,POST,249.5,137.0,129.3,102.8
api_endpoint_017,GET,184.7,94.4,130.3,78.5
api_endpoint_018,PUT,345.7,251.6,164.1,81.0
api_endpoint_019,POST,331.0,229.5,160.5,96.3
api_endpoint_020,PUT,270.9,188.2,154.1,96.8
api_endpoint_021,PUT,275.7,185.2,178.3,82.8
api_endpoint_022,GET,276.4,152.3,144.5,48.0
api_endpoint_023,GET,325.0,241.1,150.2,78.7
api_endpoint_024,POST,291.8,213.8,144.1,94.4
api_endpoint_025,GET,342.2,244.8,140.8,102.3
api_endpoint_026,POST,191.5,66.9,135.9,90.8
api_endpoint_027,PUT,281.4,175.3,120.1,84.8
api_endpoint_028,PUT,269.3,168.6,103.1,126.4
api_endpoint_029,POST,308.5,197.6,125.4,86.4
api_endpoint_030,PUT,295.8,220.7,139.3,101.2
api_endpoint_031,GET,355.9,236.0,129.4,72.0
api_endpoint_032,PUT,236.3,118.6,106.7,75.6
api_endpoint_033,GET,322.0,220.2,124.7,101.7
api_endpoint_034,POST,345.1,215.0,123.6,107.7
api_endpoint_035,POST,403.5,316.0,126.8,86.2
api_endpoint_036,PUT,298.3,165.7,137.8,64.3
api_endpoint_037,PUT,334.6,221.5,142.1,89.5
api_endpoint_038,GET,238.8,135.5,118.0,94.8
api_endpoint_039,GET,212.4,102.8,147.6,93.5
api_endpoint_040,PUT,358.0,250.1,150.6,83.5
api_endpoint_041,PUT,319.7,185.3,134.4,89.7
api_endpoint_042,POST,373.0,284.5,141.3,80.8
api_endpoint_043,POST,258.2,163.5,147.7,75.3
api_endpoint_044,POST,343.4,212.7,106.0,103.3
api_endpoint_045,PUT,404.1,306.0,149.1,93.5
api_endpoint_046,PUT,338.9,210.9,112.2,89.7
api_endpoint_047,PUT,332.4,188.4,114.1,84.4
api_endpoint_048,POST,320.4,218.4,131.9,89.3
api_endpoint_049,PUT,249.3,125.7,85.1,94.4
api_endpoint_050,GET,381.0,294.1,131.5,117.9
api_endpoint_051,PUT,292.5,167.4,147.6,101.8
api_endpoint_052,PUT,342.7,228.7,95.1,82.0
api_endpoint_053,PUT,249.7,130.2,149.8,82.2
api_endpoint_054,PUT,266.9,169.8,114.0,79.8
api_endpoint_055,PUT,384.6,307.8,132.1,89.0
api_endpoint_056,GET,304.4,184.3,116.9,79.8
api_endpoint_057,GET,385.4,316.7,139.5,99.1
api_endpoint_058,PUT,316.5,212.8,148.5,52.3
api_endpoint_059,POST,237.1,108.3,140.9,100.0
api_endpoint_060,PUT,360.1,246.3,127.9,96.1
api_endpoint_061,PUT,293.5,144.5,118.5,110.9
api_endpoint_062,PUT,351.4,220.9,126.6,105.2
api_endpoint_063,POST,321.1,224.2,141.1,81.7
api_endpoint_064,POST,250.6,140.1,141.8,103.5
api_endpoint_065,POST,327.4,218.3,139.0,89.5
api_endpoint_066,GET,418.8,340.4,102.3,63.0
api_endpoint_067,POST,342.2,251.0,127.5,94.4
api_endpoint_068,GET,317.4,218.6,115.3,82.6
api_endpoint_069,GET,368.4,299.1,141.3,92.0
api_endpoint_070,POST,329.5,218.6,112.7,116.8
api_endpoint_071,POST,329.4,224.4,137.0,95.4
api_endpoint_072,POST,270.9,194.4,122.4,76.7
api_endpoint_073,GET,330.5,212.4,90.4,106.5
api_endpoint_074,PUT,366.6,242.3,146.6,97.4
api_endpoint_075,POST,282.4,167.9,127.5,75.0
api_endpoint_076,POST,384.1,280.6,153.5,67.9
api_endpoint_077,POST,315.9,194.1,94.7,77.3
api_endpoint_078,GET,280.1,156.5,122.2,104.5
api_endpoint_079,GET,364.9,248.8,123.7,87.5
api_endpoint_080,PUT,307.1,213.6,133.4,93.2
api_endpoint_081,POST,354.2,238.7,101.5,71.9
api_endpoint_082,GET,306.9,173.0,138.9,104.9
api_endpoint_083,PUT,317.3,219.2,166.2,61.8
api_endpoint_084,POST,342.2,190.2,137.5,82.2
api_endpoint_085,GET,333.1,233.6,129.9,98.3
api_endpoint_086,POST,230.2,119.6,100.5,75.2
api_endpoint_087,POST,269.5,172.9,112.5,101.2
api_endpoint_088,GET,361.8,247.3,126.9,79.0
api_endpoint_089,GET,314.1,238.9,117.4,73.6
