session_id,device_type,navigation_layout,task_completion_time_sec,error_clicks_count
SESS_001,Desktop,Drawer,59.8,5
SESS_002,Desktop,Drawer,60.9,2
SESS_003,Desktop,Drawer,57.3,1
SESS_004,Desktop,Drawer,54.1,2
SESS_005,Desktop,Drawer,55.9,0
SESS_006,Desktop,Drawer,59.4,0
SESS_007,Desktop,Drawer,70.1,3
SESS_008,Desktop,Drawer,68.1,0
SESS_009,Desktop,Drawer,56.4,3
SESS_010,Desktop,Drawer,60.3,2
SESS_011,Desktop,Drawer,58.4,0
SESS_012,Desktop,Drawer,60.7,4
SESS_013,Desktop,Drawer,61.4,0
SESS_014,Desktop,Drawer,62.9,2
SESS_015,Desktop,Drawer,44.0,2
SESS_016,Desktop,Drawer,62.0,3
SESS_017,Desktop,Drawer,57.8,5
SESS_018,Desktop,Drawer,56.1,1
SESS_019,Desktop,Drawer,64.4,0
SESS_020,Desktop,Drawer,68.1,2
SESS_021,Desktop,Drawer,63.8,1
SESS_022,Desktop,Drawer,57.1,3
SESS_023,Desktop,Drawer,54.1,5
SESS_024,Desktop,Drawer,43.5,2
SESS_025,Desktop,Drawer,61.0,1
SESS_026,Desktop,Drawer,63.2,2
SESS_027,Desktop,Drawer,59.4,1
SESS_028,Desktop,Drawer,65.1,1
SESS_029,Desktop,Drawer,52.7,1
SESS_030,Desktop,Drawer,59.1,3
SESS_031,Desktop,BottomNav,43.6,2
SESS_032,Desktop,BottomNav,44.4,1
SESS_033,Desktop,BottomNav,51.4,0
SESS_034,Desktop,BottomNav,44.4,1
SESS_035,Desktop,BottomNav,43.4,1
SESS_036,Desktop,BottomNav,39.8,0
SESS_037,Desktop,BottomNav,52.3,2
SESS_038,Desktop,BottomNav,37.1,1
SESS_039,Desktop,BottomNav,42.0,1
SESS_040,Desktop,BottomNav,54.3,2
SESS_041,Desktop,BottomNav,47.6,2
SESS_042,Desktop,BottomNav,44.9,3
SESS_043,Desktop,BottomNav,45.1,4
SESS_044,Desktop,BottomNav,39.8,1
SESS_045,Desktop,BottomNav,44.6,2
SESS_046,Desktop,BottomNav,43.1,0
SESS_047,Desktop,BottomNav,46.0,2
SESS_048,Desktop,BottomNav,36.7,2
SESS_049,Desktop,BottomNav,47.2,2
SESS_050,Desktop,BottomNav,50.6,2
SESS_051,Desktop,BottomNav,43.9,0
SESS_052,Desktop,BottomNav,48.6,3
SESS_053,Desktop,BottomNav,46.7,2
SESS_054,Desktop,BottomNav,41.7,2
SESS_055,Desktop,BottomNav,39.2,3
SESS_056,Desktop,BottomNav,39.9,1
SESS_057,Desktop,BottomNav,46.6,0
SESS_058,Desktop,BottomNav,44.7,3
SESS_059,Desktop,BottomNav,52.0,0
SESS_060,Desktop,BottomNav,49.3,1
SESS_061,Mobile,Drawer,76.3,5
SESS_062,Mobile,Drawer,73.4,1
SESS_063,Mobile,Drawer,66.7,1
SESS_064,Mobile,Drawer,73.8,5
SESS_065,Mobile,Drawer,72.4,5
SESS_066,Mobile,Drawer,65.7,4
SESS_067,Mobile,Drawer,78.7,2
SESS_068,Mobile,Drawer,78.1,0
SESS_069,Mobile,Drawer,65.7,1
SESS_070,Mobile,Drawer,68.5,5
SESS_071,Mobile,Drawer,69.0,3
SESS_072,Mobile,Drawer,75.4,0
SESS_073,Mobile,Drawer,74.7,1
SESS_074,Mobile,Drawer,72.2,1
SESS_075,Mobile,Drawer,73.5,2
SESS_076,Mobile,Drawer,64.9,4
