service_instance_id,architecture_version,runtime_hours,failure_event,avg_cpu_load_pct
SRV_001,v2_Microservice,300.0,0,70.4
SRV_002,v1_Monolith,37.5,1,55.9
SRV_003,v2_Microservice,72.1,1,68.8
SRV_004,v1_Monolith,18.7,1,62.6
SRV_005,v1_Monolith,156.1,1,64.2
SRV_006,v1_Monolith,177.9,1,54.2
SRV_007,v1_Monolith,81.8,1,68.6
SRV_008,v1_Monolith,138.0,1,74.9
SRV_009,v2_Microservice,300.0,0,45.2
SRV_010,v2_Microservice,300.0,0,56.7
SRV_011,v1_Monolith,300.0,0,67.0
SRV_012,v1_Monolith,300.0,0,36.8
SRV_013,v2_Microservice,300.0,0,85.9
SRV_014,v2_Microservice,89.1,1,56.5
SRV_015,v1_Monolith,18.9,1,53.7
SRV_016,v2_Microservice,25.2,1,62.5
SRV_017,v1_Monolith,197.7,1,66.6
SRV_018,v2_Microservice,300.0,0,55.9
SRV_019,v1_Monolith,127.9,1,76.8
SRV_020,v1_Monolith,10.1,1,69.8
SRV_021,v2_Microservice,300.0,0,55.0
SRV_022,v1_Monolith,300.0,0,58.7
SRV_023,v2_Microservice,300.0,0,46.8
SRV_024,v1_Monolith,298.4,1,50.0
SRV_025,v2_Microservice,300.0,0,69.7
SRV_026,v2_Microservice,300.0,0,55.1
SRV_027,v1_Monolith,264.7,1,86.7
SRV_028,v2_Microservice,300.0,0,65.9
SRV_029,v2_Microservice,120.0,1,48.8
SRV_030,v2_Microservice,27.8,1,51.3
SRV_031,v2_Microservice,300.0,0,77.6
SRV_032,v2_Microservice,59.8,1,64.1
SRV_033,v1_Monolith,300.0,0,76.9
SRV_034,v1_Monolith,61.6,1,60.6
SRV_035,v2_Microservice,300.0,0,58.3
SRV_036,v2_Microservice,220.7,1,78.4
SRV_037,v1_Monolith,70.3,1,54.7
SRV_038,v2_Microservice,300.0,0,70.9
SRV_039,v2_Microservice,203.2,1,62.5
SRV_040,v1_Monolith,89.1,1,75.5
SRV_041,v1_Monolith,20.2,1,86.8
SRV_042,v2_Microservice,300.0,0,60.3
SRV_043,v1_Monolith,61.4,1,58.4
SRV_044,v2_Microservice,300.0,0,73.0
SRV_045,v2_Microservice,300.0,0,52.0
SRV_046,v1_Monolith,228.6,1,84.4
SRV_047,v1_Monolith,246.1,1,82.4
SRV_048,v1_Monolith,130.0,1,53.0
SRV_049,v1_Monolith,72.4,1,46.0
SRV_050,v2_Microservice,300.0,0,51.1
SRV_051,v1_Monolith,66.8,1,51.3
SRV_052,v2_Microservice,300.0,0,74.6
SRV_053,v1_Monolith,92.3,1,83.6
SRV_054,v1_Monolith,300.0,0,74.5
SRV_055,v1_Monolith,101.8,1,62.2
SRV_056,v1_Monolith,87.8,1,69.1
SRV_057,v1_Monolith,210.7,1,54.6
SRV_058,v1_Monolith,166.0,1,78.2
SRV_059,v2_Microservice,51.1,1,70.2
SRV_060,v2_Microservice,300.0,0,74.3
SRV_061,v1_Monolith,239.4,1,56.3
SRV_062,v1_Monolith,300.0,0,63.0
SRV_063,v1_Monolith,178.6,1,73.7
SRV_064,v1_Monolith,83.3,1,82.3
SRV_065,v1_Monolith,46.1,1,57.7
SRV_066,v1_Monolith,300.0,0,74.4
SRV_067,v1_Monolith,300.0,0,56.5
SRV_068,v1_Monolith,48.0,1,90.4
SRV_069,v1_Monolith,40.3,1,60.0
SRV_070,v1_Monolith,226.0,1,72.7
SRV_071,v2_Microservice,170.2,1,67.0
SRV_072,v1_Monolith,65.9,1,96.3
SRV_073,v1_Monolith,29.7,1,67.8
SRV_074,v2_Microservice,137.9,1,58.8
SRV_075,v2_Microservice,251.0,1,72.7
SRV_076,v2_Microservice,300.0,0,72.4
SRV_077,v2_Microservice,184.5,1,63.1
SRV_078,v1_Monolith,71.7,1,51.9
SRV_079,v2_Microservice,150.9,1,58.7
SRV_080,v2_Microservice,292.8,1,75.6
SRV_081,v1_Monolith,35.9,1,44.0
SRV_082,v2_Microservice,299.2,1,62.0
SRV_083,v2_Microservice,300.0,0,76.9
SRV_084,v1_Monolith,5.4,1,63.9
SRV_085,v1_Monolith,1.8,1,91.1
SRV_086,v1_Monolith,14.1,1,44.1
SRV_087,v1_Monolith,138.1,1,53.5
SRV_088,v1_Monolith,300.0,0,37.2
SRV_089,v2_Microservice,2.2,1,88.9
SRV_090,v2_Microservice,300.0,0,53.7
SRV_091,v1_Monolith,20.2,1,41.2
SRV_092,v2_Microservice,300.0,0,57.7
SRV_093,v1_Monolith,118.7,1,48.3
SRV_094,v1_Monolith,193.8,1,57.7
SRV_095,v2_Microservice,300.0,0,65.5
SRV_096,v2_Microservice,291.7,1,74.7
SRV_097,v2_Microservice,300.0,0,62.9
SRV_098,v2_Microservice,300.0,0,65.3
SRV_099,v2_Microservice,297.2,1,58.0
SRV_100,v2_Microservice,53.3,1,46.9
SRV_101,v1_Monolith,22.1,1,42.8
SRV_102,v2_Microservice,300.0,0,60.6
SRV_103,v2_Microservice,300.0,0,66.0
SRV_104,v2_Microservice,295.6,1,59.7
SRV_105,v1_Monolith,205.4,1,43.3
SRV_106,v2_Microservice,300.0,0,67.4
SRV_107,v2_Microservice,300.0,0,84.6
SRV_108,v1_Monolith,259.0,1,63.6
SRV_109,v2_Microservice,300.0,0,58.0
SRV_110,v1_Monolith,79.3,1,64.3
SRV_111,v1_Monolith,57.7,1,51.7
SRV_112,v2_Microservice,300.0,0,51.0
SRV_113,v1_Monolith,85.2,1,70.4
SRV_114,v1_Monolith,300.0,0,76.9
SRV_115,v2_Microservice,32.5,1,63.2
SRV_116,v2_Microservice,27.0,1,41.3
SRV_117,v1_Monolith,300.0,0,69.2
SRV_118,v2_Microservice,300.0,0,89.8
SRV_119,v2_Microservice,214.8,1,62.1
SRV_120,v2_Microservice,300.0,0,62.9
SRV_121,v2_Microservice,300.0,0,54.5
SRV_122,v2_Microservice,300.0,0,70.8
SRV_123,v1_Monolith,18.7,1,56.9
SRV_124,v1_Monolith,300.0,0,77.3
SRV_125,v2_Microservice,300.0,0,57.1
SRV_126,v2_Microservice,85.0,1,69.1
SRV_127,v1_Monolith,300.0,0,64.4
SRV_128,v2_Microservice,300.0,0,83.7
SRV_129,v2_Microservice,300.0,0,69.9
SRV_130,v1_Monolith,192.2,1,81.6
SRV_131,v1_Monolith,86.7,1,66.3
SRV_132,v1_Monolith,59.6,1,63.0
SRV_133,v2_Microservice,300.0,0,64.5
SRV_134,v1_Monolith,300.0,0,55.7
SRV_135,v1_Monolith,191.1,1,71.4
SRV_136,v2_Microservice,300.0,0,56.7
SRV_137,v2_Microservice,77.9,1,66.3
SRV_138,v1_Monolith,9.9,1,75.3
SRV_139,v1_Monolith,106.2,1,84.0
SRV_140,v2_Microservice,22.8,1,67.0
SRV_141,v2_Microservice,300.0,0,75.3
SRV_142,v2_Microservice,217.1,1,73.9
SRV_143,v2_Microservice,300.0,0,60.4
SRV_144,v1_Monolith,65.7,1,90.3
SRV_145,v1_Monolith,161.8,1,58.1
SRV_146,v1_Monolith,138.9,1,66.1
SRV_147,v1_Monolith,0.9,1,82.4
SRV_148,v2_Microservice,33.8,1,82.2
SRV_149,v1_Monolith,61.7,1,65.2
SRV_150,v1_Monolith,300.0,0,76.9
