tenant_id,subscription_tier,tenure_months,churn_event,monthly_active_days,unresolved_tickets
TNT_0001,Free,9.0,1,21,1
TNT_0002,Free,4.9,1,4,2
TNT_0003,Pro,18.7,1,24,3
TNT_0004,Free,0.1,1,20,3
TNT_0005,Free,1.1,1,19,0
TNT_0006,Pro,24.0,0,27,0
TNT_0007,Pro,1.4,1,25,3
TNT_0008,Pro,20.4,1,5,0
TNT_0009,Free,1.2,1,9,2
TNT_0010,Pro,22.7,1,18,2
TNT_0011,Free,7.3,1,6,2
TNT_0012,Pro,4.8,1,14,3
TNT_0013,Free,1.9,1,26,1
TNT_0014,Enterprise,24.0,0,2,3
TNT_0015,Free,3.0,1,28,0
TNT_0016,Free,1.3,1,14,0
TNT_0017,Pro,23.7,1,5,3
TNT_0018,Pro,3.0,1,23,0
TNT_0019,Free,11.6,1,27,1
TNT_0020,Pro,13.0,1,25,1
TNT_0021,Free,0.7,1,15,1
TNT_0022,Enterprise,24.0,0,4,3
TNT_0023,Pro,13.2,1,6,1
TNT_0024,Free,2.1,1,8,2
TNT_0025,Pro,9.9,1,2,0
TNT_0026,Free,2.1,1,24,2
TNT_0027,Free,1.8,1,13,1
TNT_0028,Enterprise,6.4,1,12,0
TNT_0029,Pro,8.1,1,25,1
TNT_0030,Free,1.7,1,9,2
TNT_0031,Free,6.9,1,26,1
TNT_0032,Free,6.9,1,7,1
TNT_0033,Enterprise,24.0,0,29,1
TNT_0034,Free,9.0,1,23,2
TNT_0035,Free,11.0,1,3,2
TNT_0036,Free,5.2,1,20,0
TNT_0037,Free,5.8,1,21,1
TNT_0038,Free,2.0,1,21,1
TNT_0039,Free,13.5,1,25,1
TNT_0040,Free,0.1,1,15,2
TNT_0041,Free,2.6,1,2,1
TNT_0042,Enterprise,24.0,0,11,2
TNT_0043,Free,0.5,1,17,1
TNT_0044,Pro,3.6,1,5,1
TNT_0045,Pro,16.0,1,28,3
TNT_0046,Pro,14.8,1,29,1
TNT_0047,Enterprise,24.0,0,12,0
TNT_0048,Free,10.0,1,17,3
TNT_0049,Free,0.8,1,28,1
TNT_0050,Free,0.1,1,21,1
TNT_0051,Free,7.0,1,2,2
TNT_0052,Pro,6.5,1,17,1
TNT_0053,Pro,17.7,1,20,2
TNT_0054,Enterprise,5.9,1,22,2
TNT_0055,Free,3.8,1,23,0
TNT_0056,Enterprise,24.0,0,10,1
TNT_0057,Free,5.3,1,10,1
TNT_0058,Free,4.3,1,10,0
TNT_0059,Free,4.1,1,28,0
TNT_0060,Pro,7.3,1,18,2
TNT_0061,Free,0.4,1,13,0
TNT_0062,Enterprise,3.4,1,26,2
TNT_0063,Enterprise,20.5,1,14,0
TNT_0064,Enterprise,15.8,1,9,0
TNT_0065,Free,4.4,1,17,0
TNT_0066,Enterprise,13.1,1,19,0
TNT_0067,Pro,21.0,1,28,1
TNT_0068,Free,12.0,1,2,1
TNT_0069,Free,2.1,1,2,3
TNT_0070,Free,1.3,1,13,1
TNT_0071,Free,0.7,1,7,4
TNT_0072,Pro,17.2,1,10,1
TNT_0073,Enterprise,21.1,1,24,0
TNT_0074,Free,1.2,1,6,1
TNT_0075,Pro,19.1,1,28,1
TNT_0076,Enterprise,5.8,1,17,2
TNT_0077,Free,4.8,1,19,2
TNT_0078,Enterprise,24.0,0,18,1
TNT_0079,Pro,23.9,1,19,3
TNT_0080,Pro,1.0,1,2,1
TNT_0081,Free,13.1,1,20,0
TNT_0082,Pro,21.9,1,23,1
TNT_0083,Free,1.5,1,9,2
TNT_0084,Pro,3.6,1,4,1
TNT_0085,Free,3.4,1,27,1
TNT_0086,Enterprise,24.0,0,26,0
TNT_0087,Free,11.1,1,27,0
TNT_0088,Free,4.4,1,6,0
TNT_0089,Pro,24.0,0,24,0
