user_id,user_group,system_version,sus_score,task_success_rate,navigation_ease_rating
UNJANI_USR_001,Mahasiswa,SIM_Redesign,70.8,0.82,4
UNJANI_USR_002,Tendik,SIM_Lama,69.4,0.92,5
UNJANI_USR_003,Mahasiswa,SIM_Redesign,85.2,0.78,4
UNJANI_USR_004,Mahasiswa,SIM_Redesign,45.4,0.78,4
UNJANI_USR_005,Mahasiswa,SIM_Lama,71.4,0.68,4
UNJANI_USR_006,Dosen,SIM_Redesign,90.3,0.96,5
UNJANI_USR_007,Dosen,SIM_Lama,79.8,0.68,5
UNJANI_USR_008,Mahasiswa,SIM_Lama,87.4,0.87,3
UNJANI_USR_009,Tendik,SIM_Redesign,53.8,0.79,3
UNJANI_USR_010,Mahasiswa,SIM_Redesign,61.8,0.79,3
UNJANI_USR_011,Mahasiswa,SIM_Redesign,79.7,0.88,4
UNJANI_USR_012,Tendik,SIM_Redesign,90.3,0.67,4
UNJANI_USR_013,Mahasiswa,SIM_Redesign,62.9,0.85,4
UNJANI_USR_014,Mahasiswa,SIM_Redesign,70.5,0.91,2
UNJANI_USR_015,Mahasiswa,SIM_Lama,78.6,0.93,4
UNJANI_USR_016,Dosen,SIM_Lama,59.7,0.71,5
UNJANI_USR_017,Mahasiswa,SIM_Lama,79.8,0.96,3
UNJANI_USR_018,Tendik,SIM_Redesign,47.2,0.87,4
UNJANI_USR_019,Dosen,SIM_Redesign,79.5,0.95,4
UNJANI_USR_020,Mahasiswa,SIM_Redesign,64.4,0.81,5
UNJANI_USR_021,Dosen,SIM_Lama,69.9,0.83,5
UNJANI_USR_022,Mahasiswa,SIM_Lama,81.1,0.96,4
UNJANI_USR_023,Mahasiswa,SIM_Redesign,79.1,0.96,4
UNJANI_USR_024,Dosen,SIM_Redesign,74.4,0.8,5
UNJANI_USR_025,Tendik,SIM_Redesign,84.4,0.74,4
UNJANI_USR_026,Mahasiswa,SIM_Redesign,57.2,0.78,3
UNJANI_USR_027,Mahasiswa,SIM_Lama,76.6,0.78,4
UNJANI_USR_028,Mahasiswa,SIM_Lama,66.4,0.75,3
UNJANI_USR_029,Mahasiswa,SIM_Lama,83.9,0.74,3
UNJANI_USR_030,Mahasiswa,SIM_Redesign,81.5,0.94,5
UNJANI_USR_031,Mahasiswa,SIM_Lama,81.9,0.67,4
UNJANI_USR_032,Dosen,SIM_Redesign,91.3,0.88,4
UNJANI_USR_033,Mahasiswa,SIM_Redesign,86.0,0.71,3
UNJANI_USR_034,Mahasiswa,SIM_Redesign,72.9,0.77,3
UNJANI_USR_035,Dosen,SIM_Lama,74.5,0.67,3
UNJANI_USR_036,Dosen,SIM_Lama,80.6,0.74,3
UNJANI_USR_037,Mahasiswa,SIM_Redesign,75.9,0.91,4
UNJANI_USR_038,Mahasiswa,SIM_Lama,81.7,0.95,3
UNJANI_USR_039,Dosen,SIM_Redesign,51.8,0.73,4
UNJANI_USR_040,Mahasiswa,SIM_Redesign,93.7,0.81,3
UNJANI_USR_041,Mahasiswa,SIM_Redesign,75.1,0.81,5
UNJANI_USR_042,Dosen,SIM_Lama,58.0,0.95,3
UNJANI_USR_043,Mahasiswa,SIM_Lama,65.2,0.91,2
UNJANI_USR_044,Mahasiswa,SIM_Redesign,52.8,0.82,2
UNJANI_USR_045,Mahasiswa,SIM_Lama,63.4,0.88,4
UNJANI_USR_046,Mahasiswa,SIM_Lama,73.0,0.94,4
UNJANI_USR_047,Mahasiswa,SIM_Lama,90.0,0.65,4
UNJANI_USR_048,Tendik,SIM_Lama,78.7,0.79,4
UNJANI_USR_049,Mahasiswa,SIM_Redesign,76.9,0.96,2
UNJANI_USR_050,Mahasiswa,SIM_Lama,62.9,0.9,4
UNJANI_USR_051,Mahasiswa,SIM_Redesign,66.1,0.83,4
UNJANI_USR_052,Tendik,SIM_Redesign,66.9,0.83,2
UNJANI_USR_053,Mahasiswa,SIM_Lama,67.3,0.77,2
UNJANI_USR_054,Mahasiswa,SIM_Redesign,70.9,0.83,2
UNJANI_USR_055,Tendik,SIM_Redesign,71.7,0.87,2
UNJANI_USR_056,Mahasiswa,SIM_Lama,71.0,0.79,4
UNJANI_USR_057,Mahasiswa,SIM_Redesign,67.7,0.89,3
UNJANI_USR_058,Mahasiswa,SIM_Redesign,75.9,0.94,3
UNJANI_USR_059,Mahasiswa,SIM_Lama,71.3,0.7,3
UNJANI_USR_060,Mahasiswa,SIM_Lama,58.2,0.8,5
UNJANI_USR_061,Dosen,SIM_Lama,74.9,0.79,5
UNJANI_USR_062,Mahasiswa,SIM_Lama,73.3,0.88,3
UNJANI_USR_063,Mahasiswa,SIM_Lama,58.4,0.73,3
UNJANI_USR_064,Mahasiswa,SIM_Redesign,68.5,0.87,3
UNJANI_USR_065,Mahasiswa,SIM_Redesign,80.6,0.95,4
UNJANI_USR_066,Mahasiswa,SIM_Lama,62.9,0.79,1
UNJANI_USR_067,Tendik,SIM_Lama,61.8,0.96,4
UNJANI_USR_068,Mahasiswa,SIM_Redesign,71.2,0.99,4
UNJANI_USR_069,Dosen,SIM_Lama,80.9,0.69,5
UNJANI_USR_070,Mahasiswa,SIM_Lama,93.0,0.73,3
UNJANI_USR_071,Mahasiswa,SIM_Redesign,81.2,0.97,5
UNJANI_USR_072,Mahasiswa,SIM_Redesign,85.6,0.98,4
UNJANI_USR_073,Mahasiswa,SIM_Redesign,78.0,0.68,2
UNJANI_USR_074,Mahasiswa,SIM_Lama,67.5,0.66,3
UNJANI_USR_075,Mahasiswa,SIM_Redesign,81.1,0.7,3
UNJANI_USR_076,Dosen,SIM_Lama,73.6,0.99,3
UNJANI_USR_077,Mahasiswa,SIM_Redesign,78.3,0.71,3
UNJANI_USR_078,Mahasiswa,SIM_Lama,64.9,0.82,4
UNJANI_USR_079,Mahasiswa,SIM_Lama,79.3,0.94,4
UNJANI_USR_080,Mahasiswa,SIM_Lama,73.3,0.66,5
UNJANI_USR_081,Mahasiswa,SIM_Redesign,76.9,0.86,2
UNJANI_USR_082,Mahasiswa,SIM_Redesign,73.6,0.74,5
UNJANI_USR_083,Mahasiswa,SIM_Redesign,71.7,0.94,3
UNJANI_USR_084,Dosen,SIM_Lama,79.4,0.75,4
UNJANI_USR_085,Tendik,SIM_Redesign,70.4,0.88,3
UNJANI_USR_086,Mahasiswa,SIM_Redesign,58.3,0.88,2
UNJANI_USR_087,Mahasiswa,SIM_Lama,55.4,0.73,5
UNJANI_USR_088,Tendik,SIM_Lama,76.4,0.66,3
UNJANI_USR_089,Mahasiswa,SIM_Redesign,69.9,0.79,4
UNJANI_USR_090,Mahasiswa,SIM_Redesign,56.9,0.75,4
UNJANI_USR_091,Mahasiswa,SIM_Redesign,75.6,0.93,4
UNJANI_USR_092,Mahasiswa,SIM_Lama,73.5,0.92,4
UNJANI_USR_093,Mahasiswa,SIM_Redesign,69.4,0.81,4
UNJANI_USR_094,Mahasiswa,SIM_Lama,77.0,0.86,2
UNJANI_USR_095,Mahasiswa,SIM_Lama,87.9,0.86,4
UNJANI_USR_096,Mahasiswa,SIM_Redesign,87.6,0.93,5
UNJANI_USR_097,Dosen,SIM_Redesign,76.0,0.79,2
UNJANI_USR_098,Mahasiswa,SIM_Lama,73.6,0.74,2
UNJANI_USR_099,Mahasiswa,SIM_Lama,76.1,0.74,4
UNJANI_USR_100,Mahasiswa,SIM_Redesign,77.7,0.83,4
UNJANI_USR_101,Dosen,SIM_Redesign,71.8,0.8,4
UNJANI_USR_102,Dosen,SIM_Redesign,76.3,0.8,2
UNJANI_USR_103,Dosen,SIM_Lama,58.4,0.68,4
UNJANI_USR_104,Mahasiswa,SIM_Lama,75.3,0.89,2
UNJANI_USR_105,Dosen,SIM_Redesign,79.4,0.72,4
UNJANI_USR_106,Dosen,SIM_Lama,69.5,0.72,4
UNJANI_USR_107,Mahasiswa,SIM_Lama,73.5,0.79,3
UNJANI_USR_108,Mahasiswa,SIM_Redesign,63.2,0.73,4
UNJANI_USR_109,Mahasiswa,SIM_Lama,61.7,0.85,5
UNJANI_USR_110,Dosen,SIM_Redesign,76.7,0.78,4
UNJANI_USR_111,Mahasiswa,SIM_Redesign,67.1,0.8,5
UNJANI_USR_112,Mahasiswa,SIM_Lama,56.4,0.83,4
UNJANI_USR_113,Tendik,SIM_Lama,63.2,0.72,4
UNJANI_USR_114,Dosen,SIM_Redesign,64.6,0.7,1
UNJANI_USR_115,Tendik,SIM_Lama,82.4,0.95,2
UNJANI_USR_116,Tendik,SIM_Redesign,76.3,0.8,3
UNJANI_USR_117,Mahasiswa,SIM_Lama,65.6,0.79,4
UNJANI_USR_118,Dosen,SIM_Lama,68.5,0.66,5
UNJANI_USR_119,Mahasiswa,SIM_Lama,87.9,0.82,3
UNJANI_USR_120,Tendik,SIM_Redesign,84.0,0.84,4
UNJANI_USR_121,Mahasiswa,SIM_Lama,63.1,0.84,4
UNJANI_USR_122,Tendik,SIM_Redesign,86.4,0.89,4
UNJANI_USR_123,Dosen,SIM_Redesign,73.7,0.71,3
UNJANI_USR_124,Dosen,SIM_Redesign,82.7,0.74,4
UNJANI_USR_125,Mahasiswa,SIM_Lama,72.8,0.93,3
UNJANI_USR_126,Mahasiswa,SIM_Redesign,86.6,0.97,2
UNJANI_USR_127,Dosen,SIM_Redesign,62.7,0.7,5
UNJANI_USR_128,Mahasiswa,SIM_Lama,71.9,0.82,2
UNJANI_USR_129,Dosen,SIM_Redesign,86.9,0.72,2
UNJANI_USR_130,Mahasiswa,SIM_Redesign,50.1,0.67,5
UNJANI_USR_131,Dosen,SIM_Lama,74.0,0.76,3
UNJANI_USR_132,Mahasiswa,SIM_Redesign,70.5,0.7,4
UNJANI_USR_133,Dosen,SIM_Lama,81.5,0.89,3
UNJANI_USR_134,Dosen,SIM_Redesign,85.4,0.83,3
UNJANI_USR_135,Mahasiswa,SIM_Redesign,81.9,0.7,3
UNJANI_USR_136,Mahasiswa,SIM_Lama,77.0,0.65,3
UNJANI_USR_137,Mahasiswa,SIM_Redesign,74.9,0.92,4
UNJANI_USR_138,Mahasiswa,SIM_Redesign,71.0,0.71,4
UNJANI_USR_139,Mahasiswa,SIM_Redesign,76.6,0.86,4
UNJANI_USR_140,Dosen,SIM_Lama,89.4,0.76,5
UNJANI_USR_141,Mahasiswa,SIM_Lama,66.0,0.85,1
UNJANI_USR_142,Mahasiswa,SIM_Lama,70.4,0.76,4
UNJANI_USR_143,Mahasiswa,SIM_Lama,73.7,0.68,4
UNJANI_USR_144,Mahasiswa,SIM_Lama,84.7,0.73,5
UNJANI_USR_145,Mahasiswa,SIM_Redesign,76.8,0.71,1
UNJANI_USR_146,Tendik,SIM_Lama,84.5,0.8,4
UNJANI_USR_147,Tendik,SIM_Lama,85.0,0.87,5
UNJANI_USR_148,Mahasiswa,SIM_Lama,80.5,0.74,3
UNJANI_USR_149,Mahasiswa,SIM_Redesign,63.6,0.65,5
UNJANI_USR_150,Dosen,SIM_Redesign,91.4,0.83,1
