account_id,sla_tier,monitoring_period_weeks,sla_breach_count,service_availability_pct,account_churn
CLOUD_ACC_001,99.99%,34.9,1,99.544,0
CLOUD_ACC_002,99.9%,8.2,5,100.0,0
CLOUD_ACC_003,99.9%,46.9,3,99.882,1
CLOUD_ACC_004,99.99%,22.7,3,99.606,1
CLOUD_ACC_005,99.99%,19.0,2,99.69,0
CLOUD_ACC_006,99.99%,26.2,2,99.862,0
CLOUD_ACC_007,99.9%,22.7,1,100.0,0
CLOUD_ACC_008,99.99%,45.5,1,100.0,0
CLOUD_ACC_009,99.9%,48.6,0,99.823,0
CLOUD_ACC_010,99.99%,18.6,3,99.577,0
CLOUD_ACC_011,99.9%,45.5,1,99.898,1
CLOUD_ACC_012,99.9%,41.5,1,100.0,0
CLOUD_ACC_013,99.99%,48.7,1,99.525,0
CLOUD_ACC_014,99.9%,15.8,0,99.659,0
CLOUD_ACC_015,99.9%,31.7,1,99.972,0
CLOUD_ACC_016,99.9%,17.2,0,99.881,0
CLOUD_ACC_017,99.9%,43.6,3,99.741,0
CLOUD_ACC_018,99.99%,4.3,3,99.894,0
CLOUD_ACC_019,99.99%,31.1,3,100.0,0
CLOUD_ACC_020,99.99%,20.3,0,99.83,1
CLOUD_ACC_021,99.99%,19.5,0,99.813,0
CLOUD_ACC_022,99.99%,35.0,0,99.968,0
CLOUD_ACC_023,99.9%,44.9,1,99.796,0
CLOUD_ACC_024,99.9%,33.2,0,100.0,1
CLOUD_ACC_025,99.9%,45.0,0,100.0,0
CLOUD_ACC_026,99.9%,16.7,0,99.671,0
CLOUD_ACC_027,99.99%,28.9,0,99.6,1
CLOUD_ACC_028,99.99%,25.6,2,99.924,0
CLOUD_ACC_029,99.9%,4.6,1,99.593,0
CLOUD_ACC_030,99.99%,30.7,0,99.589,0
CLOUD_ACC_031,99.9%,35.8,3,99.44,0
CLOUD_ACC_032,99.9%,32.4,0,99.774,0
CLOUD_ACC_033,99.99%,39.3,3,99.843,0
CLOUD_ACC_034,99.99%,31.4,3,99.747,0
CLOUD_ACC_035,99.99%,7.2,3,100.0,1
CLOUD_ACC_036,99.99%,9.6,2,100.0,0
CLOUD_ACC_037,99.99%,32.6,2,100.0,0
CLOUD_ACC_038,99.99%,17.2,2,99.859,1
CLOUD_ACC_039,99.99%,7.8,3,100.0,0
CLOUD_ACC_040,99.9%,24.6,1,99.912,1
CLOUD_ACC_041,99.99%,30.6,1,99.892,1
CLOUD_ACC_042,99.9%,19.8,2,99.757,1
CLOUD_ACC_043,99.9%,38.6,0,99.397,0
CLOUD_ACC_044,99.99%,34.9,2,99.977,0
CLOUD_ACC_045,99.9%,20.0,3,100.0,0
CLOUD_ACC_046,99.99%,40.2,1,99.545,1
CLOUD_ACC_047,99.9%,35.1,1,99.848,0
CLOUD_ACC_048,99.9%,34.6,3,100.0,0
CLOUD_ACC_049,99.9%,30.6,0,99.778,0
CLOUD_ACC_050,99.99%,4.5,0,100.0,0
CLOUD_ACC_051,99.9%,37.4,2,99.822,0
CLOUD_ACC_052,99.9%,22.1,3,99.745,1
CLOUD_ACC_053,99.9%,49.2,2,100.0,0
CLOUD_ACC_054,99.99%,43.3,0,99.663,0
