student_id,gender,grade_level,pretest_score,posttest_score,normalized_gain_score,gameplay_duration_mins,mda_mechanics_rating,mda_dynamics_rating,mda_aesthetics_rating,learning_satisfaction_rating
MHS_EDU_001,Laki-laki,Tingkat 2,62.5,100.0,1.0,81,5,4,5,5
MHS_EDU_002,Perempuan,Tingkat 2,51.9,100.0,1.0,63,5,5,5,5
MHS_EDU_003,Laki-laki,Tingkat 1,65.7,100.0,1.0,77,5,5,4,4
MHS_EDU_004,Laki-laki,Tingkat 1,59.3,100.0,1.0,66,5,3,4,4
MHS_EDU_005,Laki-laki,Tingkat 1,80.0,100.0,1.0,82,5,5,5,5
MHS_EDU_006,Perempuan,Tingkat 2,55.1,100.0,1.0,63,5,5,4,5
MHS_EDU_007,Laki-laki,Tingkat 2,40.8,86.6,0.774,38,3,4,4,4
MHS_EDU_008,Laki-laki,Tingkat 1,53.9,97.4,0.944,29,5,5,3,5
MHS_EDU_009,Laki-laki,Tingkat 1,45.1,94.1,0.893,59,4,5,5,5
MHS_EDU_010,Perempuan,Tingkat 1,63.5,100.0,1.0,42,4,4,4,5
MHS_EDU_011,Laki-laki,Tingkat 1,54.6,100.0,1.0,33,5,4,5,5
MHS_EDU_012,Laki-laki,Tingkat 2,52.9,100.0,1.0,82,4,5,5,5
MHS_EDU_013,Laki-laki,Tingkat 2,53.0,100.0,1.0,41,4,5,5,5
MHS_EDU_014,Laki-laki,Tingkat 2,61.2,94.2,0.851,31,5,3,5,5
MHS_EDU_015,Perempuan,Tingkat 1,49.9,100.0,1.0,70,5,5,5,5
MHS_EDU_016,Laki-laki,Tingkat 1,61.6,100.0,1.0,37,4,5,5,5
MHS_EDU_017,Perempuan,Tingkat 2,64.1,100.0,1.0,64,5,5,4,5
MHS_EDU_018,Perempuan,Tingkat 2,50.9,92.7,0.851,66,5,5,5,4
MHS_EDU_019,Perempuan,Tingkat 2,45.4,95.7,0.921,33,3,5,4,5
MHS_EDU_020,Laki-laki,Tingkat 2,49.3,95.5,0.911,74,3,4,4,5
MHS_EDU_021,Perempuan,Tingkat 1,60.9,97.7,0.941,51,5,4,5,5
MHS_EDU_022,Laki-laki,Tingkat 1,55.1,100.0,1.0,29,4,5,5,5
MHS_EDU_023,Perempuan,Tingkat 1,60.2,100.0,1.0,53,4,5,4,5
MHS_EDU_024,Perempuan,Tingkat 1,70.9,100.0,1.0,61,5,4,5,4
MHS_EDU_025,Perempuan,Tingkat 1,56.4,100.0,1.0,62,4,4,5,4
MHS_EDU_026,Perempuan,Tingkat 1,46.5,100.0,1.0,32,4,5,5,4
MHS_EDU_027,Perempuan,Tingkat 2,64.2,100.0,1.0,89,4,4,5,4
MHS_EDU_028,Perempuan,Tingkat 1,54.7,100.0,1.0,41,5,5,5,5
MHS_EDU_029,Perempuan,Tingkat 1,62.5,99.9,0.997,69,4,5,5,5
MHS_EDU_030,Perempuan,Tingkat 2,64.3,100.0,1.0,28,5,5,5,4
MHS_EDU_031,Laki-laki,Tingkat 1,45.1,92.5,0.863,60,4,4,5,5
MHS_EDU_032,Laki-laki,Tingkat 1,67.3,100.0,1.0,55,5,4,5,4
MHS_EDU_033,Perempuan,Tingkat 2,62.8,100.0,1.0,43,4,4,5,5
MHS_EDU_034,Perempuan,Tingkat 1,48.5,98.6,0.973,85,5,4,4,5
MHS_EDU_035,Perempuan,Tingkat 1,57.1,100.0,1.0,78,4,4,4,4
MHS_EDU_036,Laki-laki,Tingkat 1,56.6,100.0,1.0,63,5,4,4,5
MHS_EDU_037,Perempuan,Tingkat 1,54.4,98.6,0.969,43,5,3,3,4
MHS_EDU_038,Laki-laki,Tingkat 2,62.5,100.0,1.0,63,4,4,5,5
MHS_EDU_039,Laki-laki,Tingkat 2,67.9,100.0,1.0,69,5,4,5,5
MHS_EDU_040,Laki-laki,Tingkat 2,54.3,100.0,1.0,37,4,4,5,4
MHS_EDU_041,Laki-laki,Tingkat 2,66.8,100.0,1.0,82,4,4,4,5
MHS_EDU_042,Laki-laki,Tingkat 2,63.6,100.0,1.0,44,3,5,5,4
MHS_EDU_043,Perempuan,Tingkat 1,56.4,100.0,1.0,85,4,5,5,4
MHS_EDU_044,Perempuan,Tingkat 2,55.9,94.2,0.868,63,4,4,5,5
MHS_EDU_045,Perempuan,Tingkat 1,43.3,81.7,0.677,25,4,5,5,5
MHS_EDU_046,Perempuan,Tingkat 2,39.9,86.2,0.77,27,5,4,5,5
MHS_EDU_047,Perempuan,Tingkat 2,55.8,100.0,1.0,86,4,5,4,5
MHS_EDU_048,Laki-laki,Tingkat 1,46.1,100.0,1.0,87,4,4,5,5
MHS_EDU_049,Perempuan,Tingkat 1,53.8,93.6,0.861,49,4,5,4,4
MHS_EDU_050,Perempuan,Tingkat 1,49.1,99.1,0.982,80,3,5,3,5
MHS_EDU_051,Laki-laki,Tingkat 1,37.2,85.8,0.774,57,4,5,5,5
MHS_EDU_052,Perempuan,Tingkat 2,57.6,100.0,1.0,62,5,5,4,5
MHS_EDU_053,Laki-laki,Tingkat 2,50.3,92.1,0.841,30,4,3,5,5
MHS_EDU_054,Perempuan,Tingkat 1,55.0,100.0,1.0,82,4,4,4,5
MHS_EDU_055,Laki-laki,Tingkat 1,45.7,97.6,0.956,68,4,5,5,5
MHS_EDU_056,Perempuan,Tingkat 1,51.0,97.4,0.947,69,3,4,4,5
MHS_EDU_057,Perempuan,Tingkat 1,69.0,100.0,1.0,56,5,5,5,5
MHS_EDU_058,Laki-laki,Tingkat 1,55.4,100.0,1.0,69,3,3,5,5
MHS_EDU_059,Laki-laki,Tingkat 1,59.4,100.0,1.0,85,5,4,4,5
MHS_EDU_060,Laki-laki,Tingkat 2,42.1,93.1,0.881,71,5,4,5,5
MHS_EDU_061,Laki-laki,Tingkat 1,76.9,100.0,1.0,45,4,4,5,4
MHS_EDU_062,Laki-laki,Tingkat 1,71.7,100.0,1.0,60,5,5,4,4
MHS_EDU_063,Laki-laki,Tingkat 2,67.2,100.0,1.0,43,4,4,4,5
MHS_EDU_064,Laki-laki,Tingkat 1,62.1,100.0,1.0,44,5,4,4,4
MHS_EDU_065,Laki-laki,Tingkat 2,54.3,100.0,1.0,81,4,4,5,5
MHS_EDU_066,Perempuan,Tingkat 2,58.4,100.0,1.0,42,5,4,5,4
MHS_EDU_067,Perempuan,Tingkat 1,64.2,100.0,1.0,71,3,5,5,5
MHS_EDU_068,Laki-laki,Tingkat 1,48.2,100.0,1.0,73,4,3,4,5
MHS_EDU_069,Perempuan,Tingkat 1,50.0,96.0,0.92,38,4,4,4,5
MHS_EDU_070,Perempuan,Tingkat 1,38.3,79.4,0.666,39,5,4,5,4
MHS_EDU_071,Perempuan,Tingkat 1,46.9,99.7,0.994,55,5,5,4,5
MHS_EDU_072,Perempuan,Tingkat 2,70.0,100.0,1.0,25,5,4,4,5
MHS_EDU_073,Laki-laki,Tingkat 1,51.0,100.0,1.0,78,3,5,5,4
MHS_EDU_074,Perempuan,Tingkat 1,51.2,92.0,0.836,27,5,5,5,5
MHS_EDU_075,Laki-laki,Tingkat 1,57.2,100.0,1.0,40,4,4,5,5
MHS_EDU_076,Perempuan,Tingkat 2,38.9,88.8,0.817,81,4,4,5,5
MHS_EDU_077,Perempuan,Tingkat 1,63.2,100.0,1.0,36,4,4,5,5
MHS_EDU_078,Perempuan,Tingkat 1,66.2,100.0,1.0,40,5,4,5,4
MHS_EDU_079,Laki-laki,Tingkat 1,57.8,100.0,1.0,48,4,5,4,5
MHS_EDU_080,Perempuan,Tingkat 2,69.9,100.0,1.0,52,5,5,3,5
